RID,VERSION,IP,DURATION,AgeBracket,Postcode,Ethnicity,MeanExpectedCurrent,MeanExpectedFuture,Variance,MeanExpectedBest,MeanExpectedWorst,WaterBills,BidLevelFrequency,bid,CV_WaterBills,CV_CouncilTax,block,design_offset,Q16_ClimateCurrentEnvironment,Q16_ClimateCurrentSelf,Q16_MicroplasticsCurrentEnvironment,Q16_MicroplasticsCurrentSelf,Q16_MicroplasticsTen,Q16_MicroplasticsTwentyFive,Q16_MicroplasticsFifty,Q17_PandemicEnvironment,Q17_PandemicMicroplastics,Coronavirus,Charity,Consequentiality,Education,Income,Understanding,participant_id,Gender,CV,Bid,Order,Income_Annual,Variance_StatedConfidenceLevel,Variance_ConfidenceAsSD,Variance_ConfidenceAsVariance,Variance_IndividualLevel,Mean_Change,MeanExpectedCurrent_Scaled,MeanExpectedFuture_Scaled,Mean_MinusLowerBound,Mean_PlusUpperBound,MeanExpectedFuture_SampleMean,Q16_Comparison,LogBidIncome,VarianceLowerBound,VarianceUpperBound,Uncertainty,MEF,MEC,var.cameron,PaymentVehicle_Dummy,Education_HigherEd,Gender_Female,Gender_Dummy,EthnicityDummy,Task,Choice,av_A,av_B,av_C,ID,Respondent,Performance_A,Emission_A,Price_A,Performance_B,Emission_B,Price_B,Performance_C,Emission_C,Price_C,AgeDummy,AdjustedMEC,VarianceChange
8,3,Anonymised,282.642,1,Anonymised,3,3,4,3,4,3,400,6,£40.00,1,0,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,40,0,54000,3,1.5,2.25,0.5,7,8,9,1,7,2.55676657584015,0,-0.000741015224719219,7,1,3,0.899920015996801,0.799940011997601,2.25,1,1,Female,0,1,1,3,1,1,1,1,1,0,0,0,50,10,1,5,40,5,0,0.84996500349965,6
8,3,Anonymised,282.642,1,Anonymised,3,3,4,3,4,3,400,6,£40.00,1,0,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,40,0,54000,3,1.5,2.25,0.5,7,8,9,1,7,2.55676657584015,0,-0.000741015224719219,7,1,3,0.899920015996801,0.799940011997601,2.25,1,1,Female,0,1,2,2,1,1,1,2,1,0,0,0,5,90,2.5,10,10,0.5,0,0.84996500349965,6
8,3,Anonymised,282.642,1,Anonymised,3,3,4,3,4,3,400,6,£40.00,1,0,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,40,0,54000,3,1.5,2.25,0.5,7,8,9,1,7,2.55676657584015,0,-0.000741015224719219,7,1,3,0.899920015996801,0.799940011997601,2.25,1,1,Female,0,1,3,3,1,1,1,3,1,0,0,0,50,90,2.5,5,40,1,0,0.84996500349965,6
8,3,Anonymised,282.642,1,Anonymised,3,3,4,3,4,3,400,6,£40.00,1,0,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,40,0,54000,3,1.5,2.25,0.5,7,8,9,1,7,2.55676657584015,0,-0.000741015224719219,7,1,3,0.899920015996801,0.799940011997601,2.25,1,1,Female,0,1,4,2,1,1,1,4,1,0,0,0,50,40,2.5,10,90,5,0,0.84996500349965,6
18,3,Anonymised,181.455,1,Anonymised,1,2,2,3,2,5,200,6,£40.00,1,0,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,0,1,40,0,15000,3,1.5,2.25,4.5,4,7,7,-1,5,2.55676657584015,-5,-0.00267022855587892,5,-1,3,0.6999600079984,0.6999600079984,2.25,1,0,Male,1,0,1,3,1,1,1,5,2,0,0,0,5,10,1,10,90,2.5,0,0.6999800019998,6
18,3,Anonymised,181.455,1,Anonymised,1,2,2,3,2,5,200,6,£40.00,1,0,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,0,1,40,0,15000,3,1.5,2.25,4.5,4,7,7,-1,5,2.55676657584015,-5,-0.00267022855587892,5,-1,3,0.6999600079984,0.6999600079984,2.25,1,0,Male,1,0,2,1,1,1,1,6,2,0,0,0,10,40,5,50,10,0.5,0,0.6999800019998,6
18,3,Anonymised,181.455,1,Anonymised,1,2,2,3,2,5,200,6,£40.00,1,0,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,0,1,40,0,15000,3,1.5,2.25,4.5,4,7,7,-1,5,2.55676657584015,-5,-0.00267022855587892,5,-1,3,0.6999600079984,0.6999600079984,2.25,1,0,Male,1,0,3,3,1,1,1,7,2,0,0,0,50,40,1,5,10,0.5,0,0.6999800019998,6
18,3,Anonymised,181.455,1,Anonymised,1,2,2,3,2,5,200,6,£40.00,1,0,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,0,1,40,0,15000,3,1.5,2.25,4.5,4,7,7,-1,5,2.55676657584015,-5,-0.00267022855587892,5,-1,3,0.6999600079984,0.6999600079984,2.25,1,0,Male,1,0,4,3,1,1,1,8,2,0,0,0,10,10,0.5,50,40,1,0,0.6999800019998,6
11,3,Anonymised,263.33,3,Anonymised,1,4,4,2,2,5,1000,9,£70.00,1,0,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,70,0,54000,2,0.5,0.25,2.5,8,9,9,2,6,2.55676657584015,0,-0.00129713721513879,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,0,1,3,1,1,1,9,3,0,0,0,50,10,1,5,40,5,1,0.8999600039996,2
11,3,Anonymised,263.33,3,Anonymised,1,4,4,2,2,5,1000,9,£70.00,1,0,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,70,0,54000,2,0.5,0.25,2.5,8,9,9,2,6,2.55676657584015,0,-0.00129713721513879,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,0,2,2,1,1,1,10,3,0,0,0,5,90,2.5,10,10,0.5,1,0.8999600039996,2
