RID,VERSION,IP,DURATION,AgeBracket,Postcode,Ethnicity,MeanExpectedCurrent,MeanExpectedFuture,Variance,MeanExpectedBest,MeanExpectedWorst,block,design_offset,WaterBills,BidLevelFrequency,bid,CV_WaterBills,CV_CouncilTax,Q16_ClimateCurrentEnvironment,Q16_ClimateCurrentSelf,Q16_MicroplasticsCurrentEnvironment,Q16_MicroplasticsCurrentSelf,Q16_MicroplasticsTen,Q16_MicroplasticsTwentyFive,Q16_MicroplasticsFifty,Q17_PandemicEnvironment,Q17_PandemicMicroplastics,Coronavirus,Charity,Consequentiality,Education,Income,Understanding,participant_id,Gender,CV,Bid,Order,Income_Annual,Variance_StatedConfidenceLevel,Variance_ConfidenceAsSD,Variance_ConfidenceAsVariance,Variance_IndividualLevel,Mean_Change,MeanExpectedCurrent_Scaled,MeanExpectedFuture_Scaled,Mean_MinusLowerBound,Mean_PlusUpperBound,MeanExpectedFuture_SampleMean,Q16_Comparison,LogBidIncome,VarianceLowerBound,VarianceUpperBound,Uncertainty,MEF,MEC,var.cameron,PaymentVehicle_Dummy,Education_HigherEd,Gender_Female,Gender_Dummy,EthnicityDummy,Task,Choice,av_A,av_B,av_C,ID,Respondent,Performance_A,Emission_A,Price_A,Performance_B,Emission_B,Price_B,Performance_C,Emission_C,Price_C
13,6,Anonymised,443.004,2,Anonymised,1,3,5,2,1,3,2,4,200,10,£80.00,1,0,11,8,9,7,8,8,7,4,3,1,1,0,5,2250,9,13,1,1,80,1,27000,2,0.5,0.25,10,8,8,10,3,7,2.49676025917927,1,-0.002967361227802,6,4,1,0.999900019996001,0.799940011997601,0.25,1,1,Female,0,0,1,3,1,1,1,1,1,0,0,0,50,10,1,5,40,5
13,6,Anonymised,443.004,2,Anonymised,1,3,5,2,1,3,2,4,200,10,£80.00,1,0,11,8,9,7,8,8,7,4,3,1,1,0,5,2250,9,13,1,1,80,1,27000,2,0.5,0.25,10,8,8,10,3,7,2.49676025917927,1,-0.002967361227802,6,4,1,0.999900019996001,0.799940011997601,0.25,1,1,Female,0,0,2,2,1,1,1,2,1,0,0,0,5,90,2.5,10,10,0.5
13,6,Anonymised,443.004,2,Anonymised,1,3,5,2,1,3,2,4,200,10,£80.00,1,0,11,8,9,7,8,8,7,4,3,1,1,0,5,2250,9,13,1,1,80,1,27000,2,0.5,0.25,10,8,8,10,3,7,2.49676025917927,1,-0.002967361227802,6,4,1,0.999900019996001,0.799940011997601,0.25,1,1,Female,0,0,3,3,1,1,1,3,1,0,0,0,50,90,2.5,5,40,1
13,6,Anonymised,443.004,2,Anonymised,1,3,5,2,1,3,2,4,200,10,£80.00,1,0,11,8,9,7,8,8,7,4,3,1,1,0,5,2250,9,13,1,1,80,1,27000,2,0.5,0.25,10,8,8,10,3,7,2.49676025917927,1,-0.002967361227802,6,4,1,0.999900019996001,0.799940011997601,0.25,1,1,Female,0,0,4,3,1,1,1,4,1,0,0,0,50,40,2.5,10,90,5
17,7,Anonymised,275.655,2,Anonymised,1,3,3,2,2,2,2,4,300,9,£70.00,2,0,9,8,9,7,9,9,9,3,3,0,0,1,3,2250,8,17,1,0,70,1,27000,2,0.5,0.25,1,6,8,8,1,5,2.49676025917927,1,-0.00259595918082153,4,2,1,0.799940011997601,0.799940011997601,0.25,1,0,Female,0,0,1,2,1,1,1,5,2,0,0,0,50,10,1,5,40,5
17,7,Anonymised,275.655,2,Anonymised,1,3,3,2,2,2,2,4,300,9,£70.00,2,0,9,8,9,7,9,9,9,3,3,0,0,1,3,2250,8,17,1,0,70,1,27000,2,0.5,0.25,1,6,8,8,1,5,2.49676025917927,1,-0.00259595918082153,4,2,1,0.799940011997601,0.799940011997601,0.25,1,0,Female,0,0,2,3,1,1,1,6,2,0,0,0,5,90,2.5,10,10,0.5
17,7,Anonymised,275.655,2,Anonymised,1,3,3,2,2,2,2,4,300,9,£70.00,2,0,9,8,9,7,9,9,9,3,3,0,0,1,3,2250,8,17,1,0,70,1,27000,2,0.5,0.25,1,6,8,8,1,5,2.49676025917927,1,-0.00259595918082153,4,2,1,0.799940011997601,0.799940011997601,0.25,1,0,Female,0,0,3,3,1,1,1,7,2,0,0,0,50,90,2.5,5,40,1
17,7,Anonymised,275.655,2,Anonymised,1,3,3,2,2,2,2,4,300,9,£70.00,2,0,9,8,9,7,9,9,9,3,3,0,0,1,3,2250,8,17,1,0,70,1,27000,2,0.5,0.25,1,6,8,8,1,5,2.49676025917927,1,-0.00259595918082153,4,2,1,0.799940011997601,0.799940011997601,0.25,1,0,Female,0,0,4,1,1,1,1,8,2,0,0,0,50,40,2.5,10,90,5
15,7,Anonymised,346.899,2,Anonymised,1,3,2,3,2,4,2,4,100,7,£50.00,1,0,8,7,8,8,9,9,10,4,3,1,0,1,5,5000,10,15,1,1,50,1,60000,3,1.5,2.25,2,5,8,7,-1,5,2.49676025917927,-1,-0.000833680748577453,5,-1,3,0.6999600079984,0.799940011997601,2.25,1,1,Female,0,0,1,1,1,1,1,9,3,0,0,0,50,10,1,5,40,5
15,7,Anonymised,346.899,2,Anonymised,1,3,2,3,2,4,2,4,100,7,£50.00,1,0,8,7,8,8,9,9,10,4,3,1,0,1,5,5000,10,15,1,1,50,1,60000,3,1.5,2.25,2,5,8,7,-1,5,2.49676025917927,-1,-0.000833680748577453,5,-1,3,0.6999600079984,0.799940011997601,2.25,1,1,Female,0,0,2,2,1,1,1,10,3,0,0,0,5,90,2.5,10,10,0.5
