RID,VERSION,IP,DURATION,AgeBracket,Postcode,Ethnicity,MeanExpectedCurrent,MeanExpectedFuture,Variance,MeanExpectedBest,MeanExpectedWorst,block,design_offset,WaterBills,BidLevelFrequency,bid,CV_WaterBills,CV_CouncilTax,CVProtests,CVProtestTexts,Q16_ClimateCurrentEnvironment,Q16_ClimateCurrentSelf,Q16_MicroplasticsCurrentEnvironment,Q16_MicroplasticsCurrentSelf,Q16_MicroplasticsTen,Q16_MicroplasticsTwentyFive,Q16_MicroplasticsFifty,Q17_PandemicEnvironment,Q17_PandemicMicroplastics,Coronavirus,Charity,Consequentiality,ConsequentialityText,Education,Income,Understanding,FreeText,participant_id,scenario_1_choice,scenario_2_choice,scenario_3_choice,scenario_4_choice,scenario_1_alt1_x1,scenario_2_alt1_x1,scenario_3_alt1_x1,scenario_4_alt1_x1,scenario_1_alt1_x2,scenario_2_alt1_x2,scenario_3_alt1_x2,scenario_4_alt1_x2,scenario_1_alt1_x3,scenario_2_alt1_x3,scenario_3_alt1_x3,scenario_4_alt1_x3,scenario_1_alt2_x1,scenario_2_alt2_x1,scenario_3_alt2_x1,scenario_4_alt2_x1,scenario_1_alt2_x2,scenario_2_alt2_x2,scenario_3_alt2_x2,scenario_4_alt2_x2,scenario_1_alt2_x3,scenario_2_alt2_x3,scenario_3_alt2_x3,scenario_4_alt2_x3,scenario_1_alt3_x1,scenario_2_alt3_x1,scenario_3_alt3_x1,scenario_4_alt3_x1,scenario_1_alt3_x2,scenario_2_alt3_x2,scenario_3_alt3_x2,scenario_4_alt3_x2,scenario_1_alt3_x3,scenario_2_alt3_x3,scenario_3_alt3_x3,scenario_4_alt3_x3,Gender,CV,Bid,Order,Income_Annual,Variance_StatedConfidenceLevel,Variance_ConfidenceAsSD,Variance_ConfidenceAsVariance,Variance_IndividualLevel,Mean_Change,MeanExpectedCurrent_Scaled,MeanExpectedFuture_Scaled,Mean_MinusLowerBound,Mean_PlusUpperBound,MeanExpectedFuture_SampleMean,Q16_Comparison,LogBidIncome,VarianceLowerBound,VarianceUpperBound,Uncertainty,MEF,MEC,var.cameron,PaymentVehicle_Dummy,Education_HigherEd,Gender_Female,Gender_Dummy,EthnicityDummy
13,6,Anonymised,443.004,2,Anonymised,1,3,5,2,1,3,2,4,200,10,£80.00,1,,,Anonymised,11,8,9,7,8,8,7,4,3,1,1,0,Anonymised,5,2250,9,Anonymised,13,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,80,1,27000,2,0.5,0.25,10,8,8,10,3,7,2.49676025917927,1,-0.002967361227802,6,4,1,0.999900019996001,0.799940011997601,0.25,1,1,Female,0,0
17,7,Anonymised,275.655,2,Anonymised,1,3,3,2,2,2,2,4,300,9,£70.00,2,,1,Anonymised,9,8,9,7,9,9,9,3,3,0,0,1,Anonymised,3,2250,8,Anonymised,17,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,0,70,1,27000,2,0.5,0.25,1,6,8,8,1,5,2.49676025917927,1,-0.00259595918082153,4,2,1,0.799940011997601,0.799940011997601,0.25,1,0,Female,0,0
15,7,Anonymised,346.899,2,Anonymised,1,3,2,3,2,4,2,4,100,7,£50.00,1,,,Anonymised,8,7,8,8,9,9,10,4,3,1,0,1,Anonymised,5,5000,10,Anonymised,15,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,50,1,60000,3,1.5,2.25,2,5,8,7,-1,5,2.49676025917927,-1,-0.000833680748577453,5,-1,3,0.6999600079984,0.799940011997601,2.25,1,1,Female,0,0
21,7,Anonymised,283.265,2,Anonymised,1,2,0,2,0,2,1,0,400,2,£5.00,1,,,Anonymised,11,6,11,9,9,9,11,5,3,0,0,1,Anonymised,3,2750,10,Anonymised,21,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,5,1,33000,2,0.5,0.25,2,2,7,5,-2,2,2.49676025917927,-3,-0.000151526631095262,1,-1,1,0.5,0.6999600079984,0.25,1,0,Male,1,0
22,7,Anonymised,275.37,2,Anonymised,2,2,3,2,3,5,1,0,0,1,£1.00,,1,,Anonymised,9,9,10,8,11,11,11,3,3,1,1,0,Anonymised,5,2250,10,Anonymised,22,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,1,1,27000,2,0.5,0.25,2,5,7,8,1,5,2.49676025917927,1,-3.70377229250494e-05,4,2,1,0.799940011997601,0.6999600079984,0.25,0,1,Female,0,1
23,7,Anonymised,244.844,2,Anonymised,2,4,4,2,4,5,2,4,500,5,£30.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,0,1,1,Anonymised,5,2250,10,Anonymised,23,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,30,1,27000,2,0.5,0.25,0.5,8,9,9,2,6,2.49676025917927,0,-0.00111172885269043,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,1
20,7,Anonymised,383.986,2,Anonymised,1,2,3,2,2,1,1,0,0,6,£40.00,,1,,Anonymised,9,6,7,6,5,7,8,4,3,1,0,1,Anonymised,3,1750,7,Anonymised,20,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,40,1,21000,2,0.5,0.25,2.5,5,7,8,1,5,2.49676025917927,0,-0.00190657827058153,4,2,1,0.799940011997601,0.6999600079984,0.25,0,0,Female,0,0
16,7,Anonymised,601.283,2,Anonymised,4,4,5,1,5,0,2,4,700,5,£30.00,1,,,Anonymised,11,11,6,6,9,11,11,5,3,0,0,1,Anonymised,5,4500,10,Anonymised,16,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,30,1,54000,1,0,0,12.5,9,9,10,4,6,2.49676025917927,5,-0.000555709933722933,5,5,0,0.999900019996001,0.899920015996801,0,1,1,Male,1,1
25,7,Anonymised,297.274,4,Anonymised,1,4,3,1,3,5,1,0,300,8,£60.00,1,,,Anonymised,11,11,11,11,11,11,8,5,3,0,0,1,Anonymised,5,1750,10,Anonymised,25,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,60,1,21000,1,0,0,2,7,9,8,2,4,2.49676025917927,0,-0.00286123228103224,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Male,1,0
19,7,Anonymised,573.444,1,Anonymised,1,4,3,1,3,3,1,0,300,5,£30.00,1,,,Anonymised,11,9,11,10,11,11,11,3,3,1,1,0,Anonymised,5,250,10,Anonymised,19,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,30,1,3000,1,0,0,0,7,9,8,2,4,2.49676025917927,-1,-0.0100503358535015,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Female,0,0
