RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,consent,q2,q3,q4,q5,q89_1,q89_2,q7,q89_3,q89_4,q8,bid_random,bid,q9,q10,q11,q11_other,block,design_offset,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q17_1,q17_2,q18,q19,q20,q20_other,q21,q22,q23,q24
8,3,7,Anonymised,Anonymised,Anonymised,1655299698.37494,282.642,Prolific,Anonymised,1,2,1,Anonymised,3,3,4,3,4,3,5,6,£40.00,1,,,Anonymised,2,4,10,8,10,8,11,11,11,4,3,1,1,2,Anonymised,5,8,6,Anonymised
18,3,7,Anonymised,Anonymised,Anonymised,1655299806.69148,181.455,Prolific,Anonymised,1,1,1,Anonymised,1,2,2,3,2,5,3,6,£40.00,1,,,Anonymised,1,0,10,3,7,8,9,10,11,2,3,1,2,1,Anonymised,4,3,10,Anonymised
11,3,7,Anonymised,Anonymised,Anonymised,1655299747.2538,263.33,Prolific,Anonymised,1,2,3,Anonymised,1,4,4,2,2,5,11,9,£70.00,1,,,Anonymised,2,4,11,11,11,11,11,11,11,5,5,1,1,1,Anonymised,5,8,9,Anonymised
25,3,7,Anonymised,Anonymised,Anonymised,1655299844.42751,174.037,Prolific,Anonymised,1,1,1,Anonymised,1,-1,2,2,3,3,4,7,£50.00,2,,1,Anonymised,1,0,11,9,11,8,8,10,11,3,3,1,2,1,Anonymised,5,5,10,Anonymised
22,3,7,Anonymised,Anonymised,Anonymised,1655299833.02013,203.468,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,3,3,7,1,£1.00,1,,,Anonymised,2,4,11,11,11,11,11,11,11,4,3,1,2,1,Anonymised,5,2,9,Anonymised
26,3,7,Anonymised,Anonymised,Anonymised,1655299845.97932,192.344,Prolific,Anonymised,1,1,1,Anonymised,1,2,2,2,2,5,12,8,£60.00,,1,,Anonymised,2,4,10,9,9,7,10,11,11,3,3,2,2,1,Anonymised,1,10,9,Anonymised
12,3,7,Anonymised,Anonymised,Anonymised,1655299786.7765,264.952,Prolific,Anonymised,1,1,1,Anonymised,1,2,2,2,2,4,7,10,£80.00,1,,,Anonymised,1,0,10,3,8,5,9,6,9,1,2,2,2,2,Anonymised,5,5,9,Anonymised
15,3,7,Anonymised,Anonymised,Anonymised,1655299802.67903,321.708,Prolific,Anonymised,1,1,1,Anonymised,1,2,0,3,-1,5,12,2,£5.00,,1,,Anonymised,2,4,11,3,6,8,7,7,8,3,3,1,2,1,Anonymised,5,7,10,Anonymised
29,3,7,Anonymised,Anonymised,Anonymised,1655299851.25481,280.863,Prolific,Anonymised,1,1,1,Anonymised,1,2,4,2,4,5,4,3,£10.00,1,,,Anonymised,1,0,11,8,9,7,11,11,9,4,4,2,1,1,Anonymised,4,5,10,Anonymised
54,3,7,Anonymised,Anonymised,Anonymised,1655299902.49731,234.906,Prolific,Anonymised,1,1,1,Anonymised,1,2,3,2,3,3,4,10,£80.00,1,,,Anonymised,2,4,10,8,9,7,10,11,10,3,3,2,1,1,Anonymised,4,10,10,Anonymised
13,3,7,Anonymised,Anonymised,Anonymised,1655299789.6559,356.621,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,2,2,5,4,£20.00,1,,,Anonymised,2,4,11,11,10,10,10,10,10,5,4,2,1,2,Anonymised,5,5,10,Anonymised
20,3,7,Anonymised,Anonymised,Anonymised,1655299827.13285,327.376,Prolific,Anonymised,1,1,1,Anonymised,1,2,1,2,0,3,5,4,£20.00,2,,2,Anonymised,2,4,8,5,7,5,9,10,10,3,3,2,2,2,Anonymised,4,3,9,Anonymised
61,3,7,Anonymised,Anonymised,Anonymised,1655299927.34331,244.601,Prolific,Anonymised,1,1,1,Anonymised,1,2,1,3,1,4,4,1,£1.00,1,,,Anonymised,2,4,9,2,7,1,9,9,9,3,3,1,2,1,Anonymised,4,3,10,Anonymised
47,3,7,Anonymised,Anonymised,Anonymised,1655299885.61341,287.598,Prolific,Anonymised,1,1,1,Anonymised,1,-2,1,1,1,1,8,3,£10.00,2,,4,Anonymised,2,4,9,8,9,8,9,9,9,3,3,1,2,2,Anonymised,5,5,10,Anonymised
37,3,7,Anonymised,Anonymised,Anonymised,1655299872.90597,302.42,Prolific,Anonymised,1,2,2,Anonymised,1,3,3,2,4,4,4,5,£30.00,1,,,Anonymised,1,0,10,6,10,6,11,11,11,4,3,1,2,1,Anonymised,5,6,10,Anonymised
49,3,7,Anonymised,Anonymised,Anonymised,1655299887.32332,293.828,Prolific,Anonymised,1,1,1,Anonymised,1,-3,-1,2,-1,0,12,8,£60.00,,2,1,Anonymised,1,0,4,2,1,1,3,3,4,3,3,1,2,2,Anonymised,5,10,10,Anonymised
21,3,7,Anonymised,Anonymised,Anonymised,1655299831.27888,358.892,Prolific,Anonymised,1,1,1,Anonymised,1,1,1,4,1,2,7,9,£70.00,2,,2,Anonymised,1,0,9,7,8,6,9,9,10,4,3,2,2,1,Anonymised,6,9,7,Anonymised
40,3,7,Anonymised,Anonymised,Anonymised,1655299874.36718,324.522,Prolific,Anonymised,1,2,2,Anonymised,4,1,0,1,0,-1,5,7,£50.00,1,,,Anonymised,2,4,7,7,7,7,8,8,8,4,3,1,1,2,Anonymised,5,5,7,Anonymised
10,3,7,Anonymised,Anonymised,Anonymised,1655299744.957,484.501,Prolific,Anonymised,1,2,1,Anonymised,3,-4,2,2,2,2,9,3,£10.00,2,,1,Anonymised,2,4,7,2,2,1,7,7,7,4,3,2,1,1,Anonymised,5,3,10,Anonymised
46,3,7,Anonymised,Anonymised,Anonymised,1655299882.84137,351.475,Prolific,Anonymised,1,1,1,Anonymised,1,2,2,3,2,2,3,9,£70.00,2,,1,Anonymised,1,0,8,7,8,8,8,8,9,2,3,2,2,2,Anonymised,5,2,5,Anonymised
59,3,7,Anonymised,Anonymised,Anonymised,1655299916.73418,318.927,Prolific,Anonymised,1,2,3,Anonymised,1,3,2,3,3,5,4,8,£60.00,1,,,Anonymised,1,0,9,8,10,8,11,11,11,4,4,1,1,1,Anonymised,5,5,10,Anonymised
77,3,7,Anonymised,Anonymised,Anonymised,1655300067.02365,170.202,Prolific,Anonymised,1,1,1,Anonymised,3,5,3,2,5,5,4,2,£5.00,1,,,Anonymised,2,4,11,9,11,11,11,11,11,5,3,2,1,1,Anonymised,4,5,10,Anonymised
48,3,7,Anonymised,Anonymised,Anonymised,1655299886.9687,353.361,Prolific,Anonymised,1,1,1,Anonymised,1,3,2,2,-3,5,6,7,£50.00,1,,,Anonymised,2,4,11,7,11,6,9,10,11,4,3,2,2,2,Anonymised,4,5,10,Anonymised
35,3,7,Anonymised,Anonymised,Anonymised,1655299871.2399,372.395,Prolific,Anonymised,1,1,1,Anonymised,1,3,-4,2,-1,-1,5,1,£1.00,1,,,Anonymised,1,0,11,8,9,11,11,11,11,5,3,1,2,1,Anonymised,5,1,10,Anonymised
68,3,7,Anonymised,Anonymised,Anonymised,1655299961.93555,283.621,Prolific,Anonymised,1,2,1,Anonymised,1,3,2,2,1,5,8,7,£50.00,1,,,Anonymised,1,0,10,7,10,7,10,11,11,3,3,1,1,2,Anonymised,5,10,10,Anonymised
50,3,7,Anonymised,Anonymised,Anonymised,1655299892.93581,365.414,Prolific,Anonymised,1,1,1,Anonymised,1,2,1,3,1,2,4,2,£5.00,1,,,Anonymised,2,4,11,7,11,8,8,9,9,3,3,1,1,2,Anonymised,5,4,9,Anonymised
28,3,7,Anonymised,Anonymised,Anonymised,1655299850.44319,412.273,Prolific,Anonymised,1,1,1,Anonymised,1,2,0,1,0,0,4,2,£5.00,2,,2,Anonymised,1,0,6,4,4,4,4,4,4,3,3,2,2,2,Anonymised,4,5,10,Anonymised
41,3,7,Anonymised,Anonymised,Anonymised,1655299875.02612,390.242,Prolific,Anonymised,1,2,2,Anonymised,1,2,3,2,1,1,7,3,£10.00,1,,,Anonymised,1,0,9,7,8,7,9,10,10,3,3,1,2,1,Anonymised,4,5,10,Anonymised
31,3,7,Anonymised,Anonymised,Anonymised,1655299859.55773,407.525,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,1,5,12,4,£20.00,,1,,Anonymised,2,4,11,10,10,10,9,10,11,5,3,2,2,1,Anonymised,5,4,10,Anonymised
36,3,7,Anonymised,Anonymised,Anonymised,1655299872.27688,397.279,Prolific,Anonymised,1,1,1,Anonymised,1,4,3,2,4,4,5,4,£20.00,1,,,Anonymised,1,0,10,8,10,9,10,10,10,4,3,1,1,1,Anonymised,5,8,10,Anonymised
27,3,7,Anonymised,Anonymised,Anonymised,1655299850.0171,427.223,Prolific,Anonymised,1,1,1,Anonymised,1,4,2,3,0,5,2,5,£30.00,1,,,Anonymised,2,4,11,10,9,9,9,10,11,3,3,2,2,1,Anonymised,5,1,10,Anonymised
23,3,7,Anonymised,Anonymised,Anonymised,1655299833.12457,445.154,Prolific,Anonymised,1,1,1,Anonymised,1,-1,0,1,0,3,2,9,£70.00,2,,1,Anonymised,1,0,7,2,6,4,6,6,7,3,3,2,2,1,Anonymised,3,2,10,Anonymised
80,3,7,Anonymised,Anonymised,Anonymised,1655300100.09268,190.563,Prolific,Anonymised,1,2,2,Anonymised,1,2,2,2,2,4,5,8,£60.00,1,,,Anonymised,2,4,10,8,9,7,11,11,11,4,3,1,2,1,Anonymised,5,7,10,Anonymised
62,3,7,Anonymised,Anonymised,Anonymised,1655299930.44152,361.783,Prolific,Anonymised,1,1,1,Anonymised,1,4,2,3,2,5,12,8,£60.00,,1,,Anonymised,2,4,11,8,11,8,9,10,11,3,3,2,2,1,Anonymised,4,1,5,Anonymised
32,3,7,Anonymised,Anonymised,Anonymised,1655299860.25719,433.707,Prolific,Anonymised,1,1,1,Anonymised,1,2,4,2,3,3,12,5,£30.00,,1,,Anonymised,1,0,11,9,9,7,9,10,10,3,3,1,1,1,Anonymised,5,4,10,Anonymised
9,3,7,Anonymised,Anonymised,Anonymised,1655299699.29523,594.925,Prolific,Anonymised,1,2,1,Anonymised,5,3,2,3,1,1,12,2,£5.00,,2,2,Anonymised,1,0,7,6,5,5,7,7,7,4,3,2,2,1,Anonymised,5,10,7,Anonymised
75,3,7,Anonymised,Anonymised,Anonymised,1655300029.53285,277.136,Prolific,Anonymised,1,3,2,Anonymised,1,3,2,2,0,0,3,10,£80.00,1,,,Anonymised,2,4,10,10,9,9,10,10,10,4,3,2,2,2,Anonymised,5,4,9,Anonymised
24,3,7,Anonymised,Anonymised,Anonymised,1655299844.1326,463.282,Prolific,Anonymised,1,1,5,Anonymised,1,5,5,1,5,5,11,6,£40.00,1,,,Anonymised,2,4,11,11,11,9,11,11,11,3,3,2,1,1,Anonymised,4,7,10,Anonymised
