RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3
8,5,1,1,3,1,1,1,3,1,2,1,2,4
8,6,2,2,2,1,1,1,1,3,3,2,1,1
8,7,3,3,3,1,1,1,3,3,3,1,2,2
8,8,4,4,2,1,1,1,3,2,3,2,3,4
18,1,1,1,3,1,1,1,1,1,2,2,3,3
18,2,2,2,1,1,1,1,2,2,4,3,1,1
18,3,3,3,3,1,1,1,3,2,2,1,1,1
18,4,4,4,3,1,1,1,2,1,1,3,2,2
11,5,1,1,3,1,1,1,3,1,2,1,2,4
11,6,2,2,2,1,1,1,1,3,3,2,1,1
11,7,3,3,3,1,1,1,3,3,3,1,2,2
11,8,4,4,3,1,1,1,3,2,3,2,3,4
25,1,1,1,2,1,1,1,1,1,2,2,3,3
25,2,2,2,3,1,1,1,2,2,4,3,1,1
25,3,3,3,2,1,1,1,3,2,2,1,1,1
25,4,4,4,3,1,1,1,2,1,1,3,2,2
22,5,1,1,2,1,1,1,3,1,2,1,2,4
22,6,2,2,2,1,1,1,1,3,3,2,1,1
22,7,3,3,2,1,1,1,3,3,3,1,2,2
22,8,4,4,2,1,1,1,3,2,3,2,3,4
26,5,1,1,2,1,1,1,3,1,2,1,2,4
26,6,2,2,2,1,1,1,1,3,3,2,1,1
26,7,3,3,1,1,1,1,3,3,3,1,2,2
26,8,4,4,3,1,1,1,3,2,3,2,3,4
12,1,1,1,3,1,1,1,1,1,2,2,3,3
12,2,2,2,2,1,1,1,2,2,4,3,1,1
12,3,3,3,3,1,1,1,3,2,2,1,1,1
12,4,4,4,2,1,1,1,2,1,1,3,2,2
15,5,1,1,1,1,1,1,3,1,2,1,2,4
15,6,2,2,2,1,1,1,1,3,3,2,1,1
15,7,3,3,1,1,1,1,3,3,3,1,2,2
15,8,4,4,1,1,1,1,3,2,3,2,3,4
29,1,1,1,3,1,1,1,1,1,2,2,3,3
29,2,2,2,1,1,1,1,2,2,4,3,1,1
29,3,3,3,3,1,1,1,3,2,2,1,1,1
29,4,4,4,2,1,1,1,2,1,1,3,2,2
54,5,1,1,2,1,1,1,3,1,2,1,2,4
54,6,2,2,2,1,1,1,1,3,3,2,1,1
54,7,3,3,3,1,1,1,3,3,3,1,2,2
54,8,4,4,2,1,1,1,3,2,3,2,3,4
13,5,1,1,3,1,1,1,3,1,2,1,2,4
13,6,2,2,2,1,1,1,1,3,3,2,1,1
13,7,3,3,3,1,1,1,3,3,3,1,2,2
13,8,4,4,2,1,1,1,3,2,3,2,3,4
20,5,1,1,1,1,1,1,3,1,2,1,2,4
20,6,2,2,2,1,1,1,1,3,3,2,1,1
20,7,3,3,3,1,1,1,3,3,3,1,2,2
20,8,4,4,1,1,1,1,3,2,3,2,3,4
61,5,1,1,1,1,1,1,3,1,2,1,2,4
61,6,2,2,1,1,1,1,1,3,3,2,1,1
61,7,3,3,3,1,1,1,3,3,3,1,2,2
61,8,4,4,1,1,1,1,3,2,3,2,3,4
47,5,1,1,2,1,1,1,3,1,2,1,2,4
47,6,2,2,3,1,1,1,1,3,3,2,1,1
47,7,3,3,3,1,1,1,3,3,3,1,2,2
47,8,4,4,1,1,1,1,3,2,3,2,3,4
37,1,1,1,2,1,1,1,1,1,2,2,3,3
37,2,2,2,2,1,1,1,2,2,4,3,1,1
37,3,3,3,1,1,1,1,3,2,2,1,1,1
37,4,4,4,2,1,1,1,2,1,1,3,2,2
49,1,1,1,1,1,1,1,1,1,2,2,3,3
49,2,2,2,1,1,1,1,2,2,4,3,1,1
49,3,3,3,1,1,1,1,3,2,2,1,1,1
49,4,4,4,1,1,1,1,2,1,1,3,2,2
21,1,1,1,1,1,1,1,1,1,2,2,3,3
21,2,2,2,1,1,1,1,2,2,4,3,1,1
21,3,3,3,3,1,1,1,3,2,2,1,1,1
21,4,4,4,3,1,1,1,2,1,1,3,2,2
40,5,1,1,1,1,1,1,3,1,2,1,2,4
40,6,2,2,2,1,1,1,1,3,3,2,1,1
40,7,3,3,1,1,1,1,3,3,3,1,2,2
40,8,4,4,1,1,1,1,3,2,3,2,3,4
10,5,1,1,1,1,1,1,3,1,2,1,2,4
10,6,2,2,3,1,1,1,1,3,3,2,1,1
10,7,3,3,3,1,1,1,3,3,3,1,2,2
10,8,4,4,1,1,1,1,3,2,3,2,3,4
46,1,1,1,3,1,1,1,1,1,2,2,3,3
46,2,2,2,1,1,1,1,2,2,4,3,1,1
46,3,3,3,1,1,1,1,3,2,2,1,1,1
46,4,4,4,1,1,1,1,2,1,1,3,2,2
59,1,1,1,2,1,1,1,1,1,2,2,3,3
59,2,2,2,3,1,1,1,2,2,4,3,1,1
59,3,3,3,2,1,1,1,3,2,2,1,1,1
59,4,4,4,3,1,1,1,2,1,1,3,2,2
77,5,1,1,3,1,1,1,3,1,2,1,2,4
77,6,2,2,2,1,1,1,1,3,3,2,1,1
77,7,3,3,3,1,1,1,3,3,3,1,2,2
77,8,4,4,3,1,1,1,3,2,3,2,3,4
48,5,1,1,3,1,1,1,3,1,2,1,2,4
48,6,2,2,2,1,1,1,1,3,3,2,1,1
48,7,3,3,3,1,1,1,3,3,3,1,2,2
48,8,4,4,3,1,1,1,3,2,3,2,3,4
35,1,1,1,3,1,1,1,1,1,2,2,3,3
35,2,2,2,2,1,1,1,2,2,4,3,1,1
35,3,3,3,2,1,1,1,3,2,2,1,1,1
35,4,4,4,3,1,1,1,2,1,1,3,2,2
68,1,1,1,3,1,1,1,1,1,2,2,3,3
68,2,2,2,2,1,1,1,2,2,4,3,1,1
68,3,3,3,3,1,1,1,3,2,2,1,1,1
68,4,4,4,3,1,1,1,2,1,1,3,2,2
50,5,1,1,3,1,1,1,3,1,2,1,2,4
50,6,2,2,2,1,1,1,1,3,3,2,1,1
50,7,3,3,3,1,1,1,3,3,3,1,2,2
50,8,4,4,3,1,1,1,3,2,3,2,3,4
28,1,1,1,1,1,1,1,1,1,2,2,3,3
28,2,2,2,1,1,1,1,2,2,4,3,1,1
28,3,3,3,1,1,1,1,3,2,2,1,1,1
28,4,4,4,3,1,1,1,2,1,1,3,2,2
41,1,1,1,1,1,1,1,1,1,2,2,3,3
41,2,2,2,1,1,1,1,2,2,4,3,1,1
41,3,3,3,2,1,1,1,3,2,2,1,1,1
41,4,4,4,3,1,1,1,2,1,1,3,2,2
31,5,1,1,3,1,1,1,3,1,2,1,2,4
31,6,2,2,2,1,1,1,1,3,3,2,1,1
31,7,3,3,3,1,1,1,3,3,3,1,2,2
31,8,4,4,3,1,1,1,3,2,3,2,3,4
36,1,1,1,3,1,1,1,1,1,2,2,3,3
36,2,2,2,1,1,1,1,2,2,4,3,1,1
36,3,3,3,3,1,1,1,3,2,2,1,1,1
36,4,4,4,2,1,1,1,2,1,1,3,2,2
27,5,1,1,3,1,1,1,3,1,2,1,2,4
27,6,2,2,2,1,1,1,1,3,3,2,1,1
27,7,3,3,3,1,1,1,3,3,3,1,2,2
27,8,4,4,3,1,1,1,3,2,3,2,3,4
23,1,1,1,1,1,1,1,1,1,2,2,3,3
23,2,2,2,3,1,1,1,2,2,4,3,1,1
23,3,3,3,3,1,1,1,3,2,2,1,1,1
23,4,4,4,2,1,1,1,2,1,1,3,2,2
80,5,1,1,3,1,1,1,3,1,2,1,2,4
80,6,2,2,2,1,1,1,1,3,3,2,1,1
80,7,3,3,2,1,1,1,3,3,3,1,2,2
80,8,4,4,2,1,1,1,3,2,3,2,3,4
62,5,1,1,3,1,1,1,3,1,2,1,2,4
62,6,2,2,2,1,1,1,1,3,3,2,1,1
62,7,3,3,3,1,1,1,3,3,3,1,2,2
62,8,4,4,3,1,1,1,3,2,3,2,3,4
32,1,1,1,3,1,1,1,1,1,2,2,3,3
32,2,2,2,1,1,1,1,2,2,4,3,1,1
32,3,3,3,3,1,1,1,3,2,2,1,1,1
32,4,4,4,3,1,1,1,2,1,1,3,2,2
9,1,1,1,2,1,1,1,1,1,2,2,3,3
9,2,2,2,3,1,1,1,2,2,4,3,1,1
9,3,3,3,3,1,1,1,3,2,2,1,1,1
9,4,4,4,2,1,1,1,2,1,1,3,2,2
75,5,1,1,3,1,1,1,3,1,2,1,2,4
75,6,2,2,2,1,1,1,1,3,3,2,1,1
75,7,3,3,3,1,1,1,3,3,3,1,2,2
75,8,4,4,3,1,1,1,3,2,3,2,3,4
24,5,1,1,3,1,1,1,3,1,2,1,2,4
24,6,2,2,3,1,1,1,1,3,3,2,1,1
24,7,3,3,3,1,1,1,3,3,3,1,2,2
24,8,4,4,3,1,1,1,3,2,3,2,3,4
43,1,1,1,3,1,1,1,1,1,2,2,3,3
43,2,2,2,2,1,1,1,2,2,4,3,1,1
43,3,3,3,2,1,1,1,3,2,2,1,1,1
43,4,4,4,3,1,1,1,2,1,1,3,2,2
65,5,1,1,3,1,1,1,3,1,2,1,2,4
65,6,2,2,2,1,1,1,1,3,3,2,1,1
65,7,3,3,2,1,1,1,3,3,3,1,2,2
65,8,4,4,3,1,1,1,3,2,3,2,3,4
69,1,1,1,3,1,1,1,1,1,2,2,3,3
69,2,2,2,1,1,1,1,2,2,4,3,1,1
69,3,3,3,2,1,1,1,3,2,2,1,1,1
69,4,4,4,2,1,1,1,2,1,1,3,2,2
55,1,1,1,2,1,1,1,1,1,2,2,3,3
55,2,2,2,1,1,1,1,2,2,4,3,1,1
55,3,3,3,3,1,1,1,3,2,2,1,1,1
55,4,4,4,2,1,1,1,2,1,1,3,2,2
67,1,1,1,3,1,1,1,1,1,2,2,3,3
67,2,2,2,2,1,1,1,2,2,4,3,1,1
67,3,3,3,2,1,1,1,3,2,2,1,1,1
67,4,4,4,3,1,1,1,2,1,1,3,2,2
14,5,1,1,1,1,1,1,3,1,2,1,2,4
14,6,2,2,1,1,1,1,1,3,3,2,1,1
14,7,3,3,1,1,1,1,3,3,3,1,2,2
14,8,4,4,1,1,1,1,3,2,3,2,3,4
42,5,1,1,1,1,1,1,3,1,2,1,2,4
42,6,2,2,3,1,1,1,1,3,3,2,1,1
42,7,3,3,3,1,1,1,3,3,3,1,2,2
42,8,4,4,1,1,1,1,3,2,3,2,3,4
51,1,1,1,3,1,1,1,1,1,2,2,3,3
51,2,2,2,1,1,1,1,2,2,4,3,1,1
51,3,3,3,3,1,1,1,3,2,2,1,1,1
51,4,4,4,1,1,1,1,2,1,1,3,2,2
34,1,1,1,3,1,1,1,1,1,2,2,3,3
34,2,2,2,3,1,1,1,2,2,4,3,1,1
