RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,consent,q2,q3,q4,q5,q89_1,q89_2,q7,q89_3,q89_4,block,design_offset,q8,bid_random,bid,q9,q10,q11,q11_other,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q17_1,q17_2,q18,q19,q20,q20_other,q21,q22,q23,q24
2,3,10,Anonymised,Anonymised,Anonymised,1655299056.73527,73326.013,Prolific,Anonymised,,,,Anonymised,,,,,,,,,,,,,,,Anonymised,,,,,,,,,,,,,Anonymised,,,,Anonymised
3,3,10,Anonymised,Anonymised,Anonymised,1655299064.80411,73317.957,Prolific,Anonymised,1,1,1,Anonymised,1,0,0,1,0,0,2,4,2,3,£10.00,2,,2,Anonymised,,,,,,,,,,,,,Anonymised,,,,Anonymised
7,4,10,Anonymised,Anonymised,Anonymised,1655299238.34857,73144.425,Prolific,Anonymised,1,2,6,Anonymised,4,0,0,4,0,0,2,4,,,,,,,Anonymised,,,,,,,,,,,,,Anonymised,,,,Anonymised
5,4,10,Anonymised,Anonymised,Anonymised,1655299201.27528,73181.511,Prolific,Anonymised,,,,Anonymised,,,,,,,,,,,,,,,Anonymised,,,,,,,,,,,,,Anonymised,,,,Anonymised
6,4,10,Anonymised,Anonymised,Anonymised,1655299213.86253,73168.944,Prolific,Anonymised,2,,,Anonymised,,,,,,,,,,,,,,,Anonymised,,,,,,,,,,,,,Anonymised,,,,Anonymised
8,4,10,Anonymised,Anonymised,Anonymised,1655299836.39614,72546.421,,Anonymised,,,,Anonymised,,,,,,,,,,,,,,,Anonymised,,,,,,,,,,,,,Anonymised,,,,Anonymised
13,6,7,Anonymised,Anonymised,Anonymised,1655484425.57434,443.004,Prolific,Anonymised,1,2,2,Anonymised,1,3,5,2,1,3,2,4,3,10,£80.00,1,,,Anonymised,11,8,9,7,8,8,7,4,3,1,1,2,Anonymised,5,5,9,Anonymised
17,7,7,Anonymised,Anonymised,Anonymised,1655484640.80855,275.655,Prolific,Anonymised,1,2,2,Anonymised,1,3,3,2,2,2,2,4,4,9,£70.00,2,,1,Anonymised,9,8,9,7,9,9,9,3,3,2,2,1,Anonymised,3,5,8,Anonymised
15,7,7,Anonymised,Anonymised,Anonymised,1655484599.19411,346.899,Prolific,Anonymised,1,2,2,Anonymised,1,3,2,3,2,4,2,4,2,7,£50.00,1,,,Anonymised,8,7,8,8,9,9,10,4,3,1,2,1,Anonymised,5,9,10,Anonymised
21,7,7,Anonymised,Anonymised,Anonymised,1655484836.36107,283.265,Prolific,Anonymised,1,1,2,Anonymised,1,2,0,2,0,2,1,0,5,2,£5.00,1,,,Anonymised,11,6,11,9,9,9,11,5,3,2,2,1,Anonymised,3,6,10,Anonymised
22,7,7,Anonymised,Anonymised,Anonymised,1655484873.30362,275.37,Prolific,Anonymised,1,2,2,Anonymised,2,2,3,2,3,5,1,0,12,1,£1.00,,1,,Anonymised,9,9,10,8,11,11,11,3,3,1,1,2,Anonymised,5,5,10,Anonymised
23,7,7,Anonymised,Anonymised,Anonymised,1655484965.66939,244.844,Prolific,Anonymised,1,2,2,Anonymised,2,4,4,2,4,5,2,4,6,5,£30.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,2,1,1,Anonymised,5,5,10,Anonymised
20,7,7,Anonymised,Anonymised,Anonymised,1655484832.32907,383.986,Prolific,Anonymised,1,2,2,Anonymised,1,2,3,2,2,1,1,0,12,6,£40.00,,1,,Anonymised,9,6,7,6,5,7,8,4,3,1,2,1,Anonymised,3,4,7,Anonymised
16,7,7,Anonymised,Anonymised,Anonymised,1655484634.32872,601.283,Prolific,Anonymised,1,1,2,Anonymised,4,4,5,1,5,0,2,4,8,5,£30.00,1,,,Anonymised,11,11,6,6,9,11,11,5,3,2,2,1,Anonymised,5,8,10,Anonymised
25,7,7,Anonymised,Anonymised,Anonymised,1655485058.30559,297.274,Prolific,Anonymised,1,1,4,Anonymised,1,4,3,1,3,5,1,0,4,8,£60.00,1,,,Anonymised,11,11,11,11,11,11,8,5,3,2,2,1,Anonymised,5,4,10,Anonymised
19,7,7,Anonymised,Anonymised,Anonymised,1655484816.89036,573.444,Prolific,Anonymised,1,2,1,Anonymised,1,4,3,1,3,3,1,0,4,5,£30.00,1,,,Anonymised,11,9,11,10,11,11,11,3,3,1,1,2,Anonymised,5,1,10,Anonymised
27,7,7,Anonymised,Anonymised,Anonymised,1655485070.20527,367.066,Prolific,Anonymised,1,2,1,Anonymised,1,2,1,3,-3,3,2,4,12,4,£20.00,,1,,Anonymised,10,8,10,8,8,8,8,4,3,2,2,1,Anonymised,5,4,10,Anonymised
28,7,7,Anonymised,Anonymised,Anonymised,1655485101.77924,352.058,Prolific,Anonymised,1,2,2,Anonymised,1,1,3,2,3,4,1,0,2,3,£10.00,1,,,Anonymised,9,7,8,6,9,10,10,4,3,2,2,1,Anonymised,5,7,9,Anonymised
34,7,7,Anonymised,Anonymised,Anonymised,1655485255.28801,254.344,Prolific,Anonymised,1,1,1,Anonymised,1,-2,1,2,0,1,1,0,12,3,£10.00,,1,,Anonymised,10,5,6,4,6,6,6,4,3,2,2,1,Anonymised,5,8,9,Anonymised
33,7,7,Anonymised,Anonymised,Anonymised,1655485224.60431,315.472,Prolific,Anonymised,1,1,2,Anonymised,1,1,2,1,3,1,2,4,7,2,£5.00,1,,,Anonymised,11,9,7,7,8,9,10,3,3,1,1,1,Anonymised,4,6,10,Anonymised
29,7,7,Anonymised,Anonymised,Anonymised,1655485146.38343,450.484,Prolific,Anonymised,1,2,2,Anonymised,1,4,3,1,3,3,1,0,4,4,£20.00,2,,1,Anonymised,11,10,11,9,10,10,11,5,5,2,1,1,Anonymised,3,3,10,Anonymised
42,7,7,Anonymised,Anonymised,Anonymised,1655485420.84739,190.696,Prolific,Anonymised,1,2,1,Anonymised,1,5,3,2,3,3,1,0,5,1,£1.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,1,2,1,Anonymised,5,7,10,Anonymised
31,7,7,Anonymised,Anonymised,Anonymised,1655485187.41453,471.15,Prolific,Anonymised,1,1,3,Anonymised,1,4,5,2,4,4,1,0,9,7,£50.00,2,,2,Anonymised,11,11,11,11,11,11,9,3,3,2,1,1,Anonymised,4,4,7,Anonymised
39,7,7,Anonymised,Anonymised,Anonymised,1655485397.64952,292.499,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,2,3,2,4,12,10,£80.00,,1,,Anonymised,11,9,11,9,11,11,11,3,3,1,1,1,Anonymised,4,8,10,Anonymised
30,7,7,Anonymised,Anonymised,Anonymised,1655485155.99466,563.788,Prolific,Anonymised,1,1,4,Anonymised,2,-3,-2,4,-1,1,2,4,8,8,£60.00,1,,,Anonymised,10,8,8,5,8,8,8,3,3,1,2,2,Anonymised,2,7,7,Anonymised
35,7,7,Anonymised,Anonymised,Anonymised,1655485267.63898,455.457,Prolific,Anonymised,1,1,1,Anonymised,1,4,3,2,1,4,2,4,2,6,£40.00,1,,,Anonymised,11,9,11,10,10,10,11,3,3,1,2,2,Anonymised,5,3,10,Anonymised
24,7,7,Anonymised,Anonymised,Anonymised,1655485034.80026,696.213,Prolific,Anonymised,1,2,2,Anonymised,1,3,3,2,3,4,1,0,4,4,£20.00,1,,,Anonymised,9,8,10,8,10,9,9,3,3,1,2,2,Anonymised,5,4,10,Anonymised
46,7,7,Anonymised,Anonymised,Anonymised,1655485446.21253,288.615,Prolific,Anonymised,1,2,3,Anonymised,1,2,2,2,2,3,1,0,7,9,£70.00,1,,,Anonymised,10,9,10,9,11,11,11,3,3,1,2,1,Anonymised,5,9,10,Anonymised
53,7,7,Anonymised,Anonymised,Anonymised,1655485557.28868,206.305,Prolific,Anonymised,1,2,1,Anonymised,1,2,2,2,2,1,1,0,6,6,£40.00,2,,2,Anonymised,5,3,3,2,8,10,10,3,3,2,2,1,Anonymised,4,7,9,Anonymised
40,7,7,Anonymised,Anonymised,Anonymised,1655485398.68405,381.384,Prolific,Anonymised,1,1,2,Anonymised,1,2,3,2,3,2,1,0,9,3,£10.00,1,,,Anonymised,3,3,3,4,5,4,4,4,2,1,2,1,Anonymised,5,7,7,Anonymised
52,7,7,Anonymised,Anonymised,Anonymised,1655485544.35812,243.428,Prolific,Anonymised,1,2,1,Anonymised,1,3,2,2,2,2,1,0,12,10,£80.00,,1,,Anonymised,10,10,10,10,10,10,10,4,4,1,2,1,Anonymised,5,1,10,Anonymised
50,7,7,Anonymised,Anonymised,Anonymised,1655485475.71086,371.332,Prolific,Anonymised,1,2,1,Anonymised,2,-1,1,2,-1,0,2,4,6,8,£60.00,2,,2,Anonymised,9,8,5,5,7,8,9,4,3,1,1,1,Anonymised,5,8,8,Anonymised
18,7,7,Anonymised,Anonymised,Anonymised,1655484645.2043,1218.503,Prolific,Anonymised,1,2,3,Anonymised,1,-2,-1,2,4,4,1,0,9,6,£40.00,2,,1,Anonymised,11,11,11,11,11,11,11,3,3,1,1,1,Anonymised,3,1,10,Anonymised
47,7,7,Anonymised,Anonymised,Anonymised,1655485461.27936,408.18,Prolific,Anonymised,1,2,2,Anonymised,1,-2,0,4,0,0,2,4,6,7,£50.00,1,,,Anonymised,6,5,5,4,5,6,4,3,3,1,2,1,Anonymised,5,7,10,Anonymised
45,7,7,Anonymised,Anonymised,Anonymised,1655485439.52397,445.431,Prolific,Anonymised,1,1,1,Anonymised,1,3,5,2,1,5,2,4,12,9,£70.00,,1,,Anonymised,11,10,11,10,11,11,11,3,3,1,1,1,Anonymised,4,10,10,Anonymised
62,7,7,Anonymised,Anonymised,Anonymised,1655485656.40488,250.987,Prolific,Anonymised,1,2,1,Anonymised,1,5,5,2,5,5,1,0,5,7,£50.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,1,2,2,Anonymised,4,4,9,Anonymised
54,7,7,Anonymised,Anonymised,Anonymised,1655485581.886,341.159,Prolific,Anonymised,1,1,2,Anonymised,1,3,2,2,-1,1,1,0,2,1,£1.00,1,,,Anonymised,10,6,10,5,10,9,10,5,3,1,2,1,Anonymised,2,2,10,Anonymised
71,7,7,Anonymised,Anonymised,Anonymised,1655485735.97244,197.356,Prolific,Anonymised,1,2,1,Anonymised,1,4,4,3,4,4,2,4,3,8,£60.00,2,,1,Anonymised,9,6,9,6,10,11,11,3,3,1,2,1,Anonymised,3,6,10,Anonymised
41,7,7,Anonymised,Anonymised,Anonymised,1655485418.84493,517.343,Prolific,Anonymised,1,2,3,Anonymised,5,-1,1,4,1,5,2,4,4,9,£70.00,2,,1,Anonymised,10,8,9,7,9,9,9,4,4,2,2,1,Anonymised,3,1,8,Anonymised
56,7,7,Anonymised,Anonymised,Anonymised,1655485604.98772,338.944,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,2,2,2,2,4,4,8,£60.00,1,,,Anonymised,9,9,9,7,9,9,10,4,3,2,1,1,Anonymised,4,9,10,Anonymised
59,7,7,Anonymised,Anonymised,Anonymised,1655485631.11661,316.449,Prolific,Anonymised,1,1,2,Anonymised,1,3,4,2,3,5,1,0,3,9,£70.00,1,,,Anonymised,11,10,11,10,11,11,11,5,3,1,1,2,Anonymised,6,4,9,Anonymised
83,7,7,Anonymised,Anonymised,Anonymised,1655485787.48765,175.654,Prolific,Anonymised,1,2,2,Anonymised,1,4,3,2,2,3,2,4,5,9,£70.00,2,,1,Anonymised,6,6,6,6,6,6,6,3,3,2,2,1,Anonymised,1,10,10,Anonymised
43,7,7,Anonymised,Anonymised,Anonymised,1655485422.14847,562.009,Prolific,Anonymised,1,1,2,Anonymised,1,4,4,2,3,3,2,4,5,2,£5.00,1,,,Anonymised,9,9,8,7,8,9,6,4,4,2,1,1,Anonymised,4,7,10,Anonymised
69,7,7,Anonymised,Anonymised,Anonymised,1655485728.03085,258.102,Prolific,Anonymised,1,2,2,Anonymised,2,3,4,2,4,4,2,4,5,6,£40.00,1,,,Anonymised,10,9,9,9,10,10,10,4,3,1,1,1,Anonymised,5,9,8,Anonymised
76,7,7,Anonymised,Anonymised,Anonymised,1655485749.94557,261.065,Prolific,Anonymised,1,1,1,Anonymised,1,1,1,4,0,0,1,0,12,10,£80.00,,1,,Anonymised,7,6,7,6,7,7,7,3,3,1,2,1,Anonymised,4,10,7,Anonymised
85,7,7,Anonymised,Anonymised,Anonymised,1655485811.92751,199.582,Prolific,Anonymised,1,2,3,Anonymised,1,3,1,2,2,2,2,4,5,2,£5.00,1,,,Anonymised,11,11,11,10,10,11,11,3,3,1,2,1,Anonymised,5,5,10,Anonymised
37,7,7,Anonymised,Anonymised,Anonymised,1655485343.4687,668.889,Prolific,Anonymised,1,2,2,Anonymised,1,3,3,2,0,0,2,4,12,7,£50.00,,1,,Anonymised,11,9,11,9,11,11,11,3,3,2,2,1,Anonymised,3,2,9,Anonymised
67,7,7,Anonymised,Anonymised,Anonymised,1655485702.71077,320.081,Prolific,Anonymised,1,2,2,Anonymised,1,3,4,3,3,3,1,0,4,3,£10.00,1,,,Anonymised,10,7,10,6,10,10,10,4,3,1,1,1,Anonymised,5,9,10,Anonymised
38,7,7,Anonymised,Anonymised,Anonymised,1655485366.97068,670.634,Prolific,Anonymised,1,1,1,Anonymised,5,2,0,3,-1,3,2,4,12,4,£20.00,,1,,Anonymised,10,8,9,6,7,7,7,3,3,2,1,2,Anonymised,5,7,10,Anonymised
75,7,7,Anonymised,Anonymised,Anonymised,1655485743.94455,313.881,Prolific,Anonymised,1,2,1,Anonymised,1,5,5,2,5,5,2,4,3,3,£10.00,1,,,Anonymised,11,11,11,10,11,11,11,5,5,1,2,1,Anonymised,5,7,10,Anonymised
49,7,7,Anonymised,Anonymised,Anonymised,1655485471.73051,586.517,Prolific,Anonymised,1,1,5,Anonymised,1,1,1,3,0,5,2,4,12,4,£20.00,,1,,Anonymised,11,9,8,8,9,9,9,4,3,2,1,1,Anonymised,5,4,7,Anonymised
44,7,7,Anonymised,Anonymised,Anonymised,1655485438.44394,640.734,Prolific,Anonymised,1,1,3,Anonymised,1,3,3,2,1,5,2,4,12,6,£40.00,,2,2,Anonymised,10,5,9,7,9,10,11,3,3,2,1,2,Anonymised,4,10,10,Anonymised
72,7,7,Anonymised,Anonymised,Anonymised,1655485740.60633,339.861,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,2,3,3,2,4,2,7,£50.00,2,,1,Anonymised,9,7,9,6,9,10,10,3,3,1,1,1,Anonymised,5,4,9,Anonymised
57,7,7,Anonymised,Anonymised,Anonymised,1655485611.66538,481.237,Prolific,Anonymised,1,2,1,Anonymised,1,3,1,2,0,5,2,4,5,1,£1.00,1,,,Anonymised,8,8,11,8,11,7,5,5,3,1,2,1,Anonymised,5,3,5,Anonymised
51,7,7,Anonymised,Anonymised,Anonymised,1655485526.17371,601.481,Prolific,Anonymised,1,2,3,Anonymised,1,1,2,2,1,2,2,4,12,2,£5.00,,1,,Anonymised,9,6,8,7,8,9,9,3,3,2,1,1,Anonymised,5,6,9,Anonymised
89,7,7,Anonymised,Anonymised,Anonymised,1655485840.49332,289.957,Prolific,Anonymised,1,1,1,Anonymised,2,2,2,4,1,3,2,4,3,8,£60.00,1,,,Anonymised,11,8,10,6,6,9,10,3,3,1,2,1,Anonymised,5,4,10,Anonymised
