"","X","Task","Choice","RID","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","block","design_offset","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","CV","av_A","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C"
"1","X1",1,3,8,282.642,1,1,"M15 5JX",3,3,4,3,4,3,400,6,40,1,NA,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,1,1,1,1,0,0,0,50,10,1,5,40,5
"2","X1.1",2,2,8,282.642,1,1,"M15 5JX",3,3,4,3,4,3,400,6,40,1,NA,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,1,1,2,1,0,0,0,5,90,2.5,10,10,0.5
"3","X1.2",3,3,8,282.642,1,1,"M15 5JX",3,3,4,3,4,3,400,6,40,1,NA,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,1,1,3,1,0,0,0,50,90,2.5,5,40,1
"4","X1.3",4,2,8,282.642,1,1,"M15 5JX",3,3,4,3,4,3,400,6,40,1,NA,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,1,1,1,1,4,1,0,0,0,50,40,2.5,10,90,5
"5","X2",1,3,18,181.455,0,1,"rh9 8ld",1,2,2,3,2,5,200,6,40,1,NA,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,1,1,1,1,5,2,0,0,0,5,10,1,10,90,2.5
"6","X2.1",2,1,18,181.455,0,1,"rh9 8ld",1,2,2,3,2,5,200,6,40,1,NA,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,1,1,1,1,6,2,0,0,0,10,40,5,50,10,0.5
"7","X2.2",3,3,18,181.455,0,1,"rh9 8ld",1,2,2,3,2,5,200,6,40,1,NA,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,1,1,1,1,7,2,0,0,0,50,40,1,5,10,0.5
"8","X2.3",4,3,18,181.455,0,1,"rh9 8ld",1,2,2,3,2,5,200,6,40,1,NA,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,1,1,1,1,8,2,0,0,0,10,10,0.5,50,40,1
"9","X3",1,3,11,263.33,1,3,"cf5 2ba",1,4,4,2,2,5,1000,9,70,1,NA,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,1,1,9,3,0,0,0,50,10,1,5,40,5
"10","X3.1",2,2,11,263.33,1,3,"cf5 2ba",1,4,4,2,2,5,1000,9,70,1,NA,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,1,1,10,3,0,0,0,5,90,2.5,10,10,0.5
"11","X3.2",3,3,11,263.33,1,3,"cf5 2ba",1,4,4,2,2,5,1000,9,70,1,NA,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,1,1,11,3,0,0,0,50,90,2.5,5,40,1
