"","X","RID","DURATION","Gender","AgeBracket","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","block","design_offset","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP","b_Price.ID","b_Price.post.mean","b_Price.post.sd","b_Performance_10.ID","b_Performance_10.post.mean","b_Performance_10.post.sd","b_Performance_50.ID","b_Performance_50.post.mean","b_Performance_50.post.sd","b_Emissions_40.ID","b_Emissions_40.post.mean","b_Emissions_40.post.sd","b_Emissions_90.ID","b_Emissions_90.post.mean","b_Emissions_90.post.sd","Order"
"1",1,8,282.642,1,1,3,3,4,3,4,3,400,6,40,1,NA,2,4,10,8,10,8,11,11,11,4,3,1,1,0,5,4500,6,8,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00892863074430132,4,1,7,0.5625,130.973833360969,1,-0.083195859844173,0.139719309727921,1,1.42240005951174,0.572453405682319,1,0.527161627956925,0.0222749118131502,1,-0.830937070906759,0.401692050753226,1,-1.87560021329444,0.199210980923149,0
"2",2,18,181.455,0,1,1,2,2,3,2,5,200,6,40,1,NA,1,0,10,3,7,8,9,10,11,2,3,1,0,1,4,1250,10,18,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0325231917055601,2,-1,5,0.5625,94.6794316206757,2,-0.648669300187562,0.698593489141324,2,1.51303463213248,0.565972562647148,2,0.52576784856946,0.023010749876835,2,-0.793139795727768,0.420913561067911,2,-1.88208300847446,0.203375623018336,0
"3",3,11,263.33,1,3,1,4,4,2,2,5,1000,9,70,1,NA,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0156778127192298,4,3,5,0.0625,132.479248906059,3,-0.0651240720609372,0.106877432912209,3,1.44777302779486,0.59598337453266,3,0.525763510055361,0.0220628011929091,3,-0.801913683076066,0.404351313903977,3,-1.89395391726854,0.197133541268753,0
"4",4,25,174.037,0,1,1,-1,2,2,3,3,300,7,50,2,NA,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0224728558520586,2,1,3,0.0625,99.4545239888959,4,-0.205654425141614,0.341395883185549,4,1.40146698439912,0.56369644462284,4,0.52655489729382,0.022089814567655,4,-0.81304548698669,0.402151814621395,4,-1.88394576825355,0.189492387942703,0
"5",5,22,203.468,0,1,1,4,4,2,3,3,600,1,1,1,NA,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00133422301313661,4,3,5,0.0625,135.681085976031,5,-0.201491732772805,0.29663039071681,5,1.40728958907084,0.562964690152527,5,0.525563014346382,0.0224965613111617,5,-0.765732259871162,0.402842382369218,5,-1.88430089407976,0.195403918622103,0
"6",6,26,192.344,0,1,1,2,2,2,2,5,0,8,60,NA,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0242926925690446,2,1,3,0.0625,99.0828306225952,6,-0.203061742830647,0.29657554517501,6,1.40448587737167,0.567284085040181,6,0.525728097642497,0.0223187783597991,6,-0.764976899928387,0.42065210177424,6,-1.88873080949202,0.198631365292762,0
"7",7,12,264.952,0,1,1,2,2,2,2,4,600,10,80,1,NA,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0362030486639606,2,1,3,0.0625,96.6626143340845,7,-0.0591964394840311,0.10390636979644,7,1.44855578665764,0.56885553659111,7,0.524195548812157,0.0233196298617691,7,-0.796566833572252,0.424226308036754,7,-1.89443398869574,0.20298119188846,0
"8",8,15,321.708,0,1,1,2,0,3,-1,5,0,2,5,NA,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00142959280959443,0,-3,3,0.5625,72.5362465520944,8,-4.92270302847651,3.11509740151906,8,1.36250804039519,0.519103611513069,8,0.523619761441952,0.023048954539435,8,-0.664952460688399,0.359431711270278,8,-2.02571065506842,0.198373610093367,0
"9",9,29,280.863,0,1,1,2,4,2,4,5,300,3,10,1,NA,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00445435034938031,4,3,5,0.0625,134.983097770149,9,-0.56956765120692,0.654816608865931,9,1.49133984480411,0.580865172381887,9,0.525548291188422,0.0226250126239394,9,-0.717243966699698,0.398093540685081,9,-1.902234359188,0.200641670377351,0
"10",10,54,234.906,0,1,1,2,3,2,3,3,300,10,80,1,NA,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0325231917055601,3,2,4,0.0625,112.740529758436,10,-0.208757582121698,0.304970027066739,10,1.44782095643525,0.594372566201345,10,0.525611881939744,0.0221310145741136,10,-0.819273707798723,0.427672174240995,10,-1.88860428464374,0.195271311549046,0
