"","X","RID","VERSION","IP","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","CVProtests","CVProtestTexts","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","ConsequentialityText","Education","Income","Understanding","FreeText","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Order","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP"
"1",7,13,6,"9d.40e.a1.e",443.004,1,2,"RG42 3TZ",1,3,5,2,1,3,2,4,200,10,80,1,NA,NA,NA,11,8,9,7,8,8,7,4,3,1,1,0,"Will any reguator listen",5,2250,9,"A very interesting survey. I am interested in the effects that microplastics have on our marine life",13,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0362030486639606,5,1,1,0.0625,125.624329576251
"2",8,17,7,"71.b43.2c.c",275.655,1,2,"ne28 9xg",1,3,3,2,2,2,2,4,300,9,70,2,NA,1,NA,9,8,9,7,9,9,9,3,3,0,0,1,NA,3,2250,8,"I'm not sure",17,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0316053394153311,3,1,1,0.0625,108.698357954489
"3",9,15,7,"18.6a8.6c.0",346.899,1,2,"Yo10 4qp",1,3,2,3,2,4,2,4,100,7,50,1,NA,NA,NA,8,7,8,8,9,9,10,4,3,1,0,1,NA,5,5000,10,"No comments. Great survey!",15,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0100503358535015,2,3,3,0.5625,104.767175709658
"4",10,21,7,"9a3.7.505.8",283.265,0,2,"DT2 8SY",1,2,0,2,0,2,1,0,400,2,5,1,NA,NA,NA,11,6,11,9,9,9,11,5,3,0,0,1,NA,3,2750,10,"Na",21,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00181983671698598,0,1,1,0.0625,88.7964066292252
"5",11,22,7,"9.d62.9c8.9",275.37,1,2,"EH3 6SB",2,2,3,2,3,5,1,0,0,1,1,NA,1,NA,NA,9,9,10,8,11,11,11,3,3,1,1,0,"Without knowing who this will be presented to its hard to have faith it will matter",5,2250,10,"N/A",22,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.000444543239150158,3,1,1,0.0625,114.699544281204
"6",12,23,7,"9.f4.24c0.b",244.844,1,2,"NG5 2DJ",2,4,4,2,4,5,2,4,500,5,30,1,NA,NA,NA,11,11,11,11,11,11,11,3,3,0,1,1,NA,5,2250,10,NA,23,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0134230203321407,4,1,1,0.0625,121.094567031916
"7",13,20,7,"9.f8.8497.4",383.986,1,2,"PH211ND",1,2,3,2,2,1,1,0,0,6,40,NA,1,NA,NA,9,6,7,6,5,7,8,4,3,1,0,1,NA,3,1750,7,"N/A",20,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0231224174208543,3,1,1,0.0625,110.32325202864
"8",14,16,7,"f2.f19.29.a",601.283,0,2,"TW4 5EU",4,4,5,1,5,0,2,4,700,5,30,1,NA,NA,NA,11,11,6,6,9,11,11,5,3,0,0,1,NA,5,4500,10,"More awareness on effect of microplastics should be made similar to the awareness of impact of plastics.",16,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00668898815079665,5,0,0,0,131.419035538245
"9",15,25,7,"f2.b.b794.9",297.274,0,4,"ch4 7qh",1,4,3,1,3,5,1,0,300,8,60,1,NA,NA,NA,11,11,11,11,11,11,8,5,3,0,0,1,NA,5,1750,10,"All good",25,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0348872590004405,3,0,0,0,107.988386415499
"10",16,19,7,"963.96.8e.e",573.444,1,1,"ex246ad",1,4,3,1,3,3,1,0,300,5,30,1,NA,NA,NA,11,9,11,10,11,11,11,3,3,1,1,0,"the  people at the top do not care for the environment and only keeping businesses happy",5,250,10,"n/a",19,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.127833371509885,3,0,0,0,90.7191172883366
"11",17,27,7,"93.611.f6.8",367.066,1,1,"ME5 9JN",1,2,1,3,-3,3,2,4,0,4,20,NA,1,NA,NA,10,8,10,8,8,8,8,4,3,0,0,1,NA,5,1750,10,"Already very clear",27,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0114943794257351,1,3,3,0.5625,95.9690656409383
"12",18,28,7,"975.02.b4.1",352.058,1,2,"PO2 9PJ",1,1,3,2,3,4,1,0,100,3,10,1,NA,NA,NA,9,7,8,6,9,10,10,4,3,0,0,1,NA,5,3500,9,"I don’t have any comments.",28,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,3,1,1,0.0625,114.231011433037
"13",19,34,7,"9d.a5b.b4.8",254.344,0,1,"B90 1DJ",1,-2,1,2,0,1,1,0,0,3,10,NA,1,NA,NA,10,5,6,4,6,6,6,4,3,0,0,1,NA,5,4500,9,"More Qs per page",34,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00222469502211116,1,1,1,0.0625,97.0344153746263
"14",20,33,7,"950b.d.15.2",315.472,0,2,"ws122eh",1,1,2,1,3,1,2,4,600,2,5,1,NA,NA,NA,11,9,7,7,8,9,10,3,3,1,1,1,NA,4,2750,10,"Easily understood.",33,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00181983671698598,2,0,0,0,105.582726351656
"15",21,29,7,"97.5c.f30.3",450.484,1,2,"Ss2",1,4,3,1,3,3,1,0,300,4,20,2,NA,1,NA,11,10,11,9,10,10,11,5,5,0,1,1,NA,3,1250,10,"None",29,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0161293819298836,3,0,0,0,111.583876147789
