"","RID","DURATION","Gender","AgeBracket","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Order","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP","b_Price.ID","b_Price.post.mean","b_Price.post.sd","b_Performance_10.ID","b_Performance_10.post.mean","b_Performance_10.post.sd","b_Performance_50.ID","b_Performance_50.post.mean","b_Performance_50.post.sd","b_Emissions_40.ID","b_Emissions_40.post.mean","b_Emissions_40.post.sd","b_Emissions_90.ID","b_Emissions_90.post.mean","b_Emissions_90.post.sd"
"1",13,443.004,1,2,1,3,5,2,1,3,2,4,200,10,80,1,NA,11,8,9,7,8,8,7,4,3,1,1,0,5,2250,9,13,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0362030486639606,5,1,1,0.0625,125.624329576251,1,-0.0577273711765856,0.0963360096837041,1,1.30443744515045,0.16242581569364,1,0.407544670763497,0.381974380926693,1,-0.534585477683415,0.643602280129683,1,-1.8347160664383,0.423795534218736
"2",17,275.655,1,2,1,3,3,2,2,2,2,4,300,9,70,2,NA,9,8,9,7,9,9,9,3,3,0,0,1,3,2250,8,17,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0316053394153311,3,1,1,0.0625,108.698357954489,2,-0.917115827172976,0.895869932408979,2,1.31937240487486,0.159777630524001,2,0.367739732646853,0.406589045659629,2,-0.596809274670515,0.628143883558609,2,-1.716318097888,0.412312772249071
"3",15,346.899,1,2,1,3,2,3,2,4,2,4,100,7,50,1,NA,8,7,8,8,9,9,10,4,3,1,0,1,5,5000,10,15,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0100503358535015,2,3,3,0.5625,104.767175709658,3,-12.3785529909741,32.3127450509904,3,1.29602991062351,0.139498176340237,3,0.404363434220319,0.344940800641899,3,-0.857138349429535,0.571870304434861,3,-2.03066194081779,0.440024524579042
"4",21,283.265,0,2,1,2,0,2,0,2,1,0,400,2,5,1,NA,11,6,11,9,9,9,11,5,3,0,0,1,3,2750,10,21,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00181983671698598,0,1,1,0.0625,88.7964066292252,4,-0.33386560256292,0.483056175435743,4,1.30184952828652,0.160543240417714,4,0.406642883180336,0.376152153428405,4,-0.686903396912727,0.640608130989945,4,-1.76754688844339,0.410095944867061
"5",22,275.37,1,2,2,2,3,2,3,5,1,0,0,1,1,NA,1,9,9,10,8,11,11,11,3,3,1,1,0,5,2250,10,22,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.000444543239150158,3,1,1,0.0625,114.699544281204,5,-1.01897965720187,1.35336254076555,5,1.31033076080825,0.152466697013225,5,0.381666210771903,0.374567492384193,5,-0.851424247521962,0.633271597185491,5,-1.89850205186034,0.392233176230151
"6",23,244.844,1,2,2,4,4,2,4,5,2,4,500,5,30,1,NA,11,11,11,11,11,11,11,3,3,0,1,1,5,2250,10,23,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0134230203321407,4,1,1,0.0625,121.094567031916,6,-2.83988065576828,3.64300421475076,6,1.29456395018334,0.167087172456601,6,0.427940634765011,0.394449839590733,6,-0.866133060085645,0.618180734182031,6,-1.91506274621742,0.377829866275393
"7",20,383.986,1,2,1,2,3,2,2,1,1,0,0,6,40,NA,1,9,6,7,6,5,7,8,4,3,1,0,1,3,1750,7,20,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0231224174208543,3,1,1,0.0625,110.32325202864,7,-0.179910648299645,0.290536384585749,7,1.30626947393463,0.163312437904897,7,0.449520898220412,0.400525672812142,7,-0.467205778868936,0.675768629877592,7,-1.80381991818169,0.437677177010631
"8",16,601.283,0,2,4,4,5,1,5,0,2,4,700,5,30,1,NA,11,11,6,6,9,11,11,5,3,0,0,1,5,4500,10,16,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00668898815079665,5,0,0,0,131.419035538245,8,-0.055060518411288,0.0963848691028915,8,1.30508776536076,0.158152491207033,8,0.422054310699711,0.359316908408835,8,-0.568812617556398,0.669441021850495,8,-1.80347136541901,0.411622277536012
"9",25,297.274,0,4,1,4,3,1,3,5,1,0,300,8,60,1,NA,11,11,11,11,11,11,8,5,3,0,0,1,5,1750,10,25,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0348872590004405,3,0,0,0,107.988386415499,9,-0.190049625296051,0.299217405944466,9,1.3089977970023,0.165790113237819,9,0.427136313684573,0.373306334941357,9,-0.490675848731499,0.649015100392864,9,-1.80551698939042,0.417186582515682
"10",19,573.444,1,1,1,4,3,1,3,3,1,0,300,5,30,1,NA,11,9,11,10,11,11,11,3,3,1,1,0,5,250,10,19,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.127833371509885,3,0,0,0,90.7191172883366,10,-0.0664133518351199,0.118343482245988,10,1.31393576504052,0.166585680533083,10,0.425526757367215,0.377776148365129,10,-0.622373182656131,0.680821512875142,10,-1.81087440249706,0.423606383825484
