"","Task","Choice","RID","VERSION","IP","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","CV","av_A","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C","Order"
"X7",1,3," 13","6","9d.40e.a1.e"," 443.004","1","2","RG42 3TZ","1"," 3"," 5","2"," 1"," 3","2","4"," 200","10","80"," 1",NA,"11"," 8"," 9"," 7"," 8"," 8"," 7","4","3","1","1","0","5","2250"," 9"," 13","1",1,1,1,1,1,0,0,0,50,10,1,5,40,5,1
"X7.1",2,2," 13","6","9d.40e.a1.e"," 443.004","1","2","RG42 3TZ","1"," 3"," 5","2"," 1"," 3","2","4"," 200","10","80"," 1",NA,"11"," 8"," 9"," 7"," 8"," 8"," 7","4","3","1","1","0","5","2250"," 9"," 13","1",1,1,1,2,1,0,0,0,5,90,2.5,10,10,0.5,1
"X7.2",3,3," 13","6","9d.40e.a1.e"," 443.004","1","2","RG42 3TZ","1"," 3"," 5","2"," 1"," 3","2","4"," 200","10","80"," 1",NA,"11"," 8"," 9"," 7"," 8"," 8"," 7","4","3","1","1","0","5","2250"," 9"," 13","1",1,1,1,3,1,0,0,0,50,90,2.5,5,40,1,1
"X7.3",4,3," 13","6","9d.40e.a1.e"," 443.004","1","2","RG42 3TZ","1"," 3"," 5","2"," 1"," 3","2","4"," 200","10","80"," 1",NA,"11"," 8"," 9"," 7"," 8"," 8"," 7","4","3","1","1","0","5","2250"," 9"," 13","1",1,1,1,4,1,0,0,0,50,40,2.5,10,90,5,1
"X8",1,2," 17","7","71.b43.2c.c"," 275.655","1","2","ne28 9xg","1"," 3"," 3","2"," 2"," 2","2","4"," 300"," 9","70"," 2",NA," 9"," 8"," 9"," 7"," 9"," 9"," 9","3","3","0","0","1","3","2250"," 8"," 17","0",1,1,1,5,2,0,0,0,50,10,1,5,40,5,1
"X8.1",2,3," 17","7","71.b43.2c.c"," 275.655","1","2","ne28 9xg","1"," 3"," 3","2"," 2"," 2","2","4"," 300"," 9","70"," 2",NA," 9"," 8"," 9"," 7"," 9"," 9"," 9","3","3","0","0","1","3","2250"," 8"," 17","0",1,1,1,6,2,0,0,0,5,90,2.5,10,10,0.5,1
"X8.2",3,3," 17","7","71.b43.2c.c"," 275.655","1","2","ne28 9xg","1"," 3"," 3","2"," 2"," 2","2","4"," 300"," 9","70"," 2",NA," 9"," 8"," 9"," 7"," 9"," 9"," 9","3","3","0","0","1","3","2250"," 8"," 17","0",1,1,1,7,2,0,0,0,50,90,2.5,5,40,1,1
"X8.3",4,1," 17","7","71.b43.2c.c"," 275.655","1","2","ne28 9xg","1"," 3"," 3","2"," 2"," 2","2","4"," 300"," 9","70"," 2",NA," 9"," 8"," 9"," 7"," 9"," 9"," 9","3","3","0","0","1","3","2250"," 8"," 17","0",1,1,1,8,2,0,0,0,50,40,2.5,10,90,5,1
"X9",1,1," 15","7","18.6a8.6c.0"," 346.899","1","2","Yo10 4qp","1"," 3"," 2","3"," 2"," 4","2","4"," 100"," 7","50"," 1",NA," 8"," 7"," 8"," 8"," 9"," 9","10","4","3","1","0","1","5","5000","10"," 15","1",1,1,1,9,3,0,0,0,50,10,1,5,40,5,1
"X9.1",2,2," 15","7","18.6a8.6c.0"," 346.899","1","2","Yo10 4qp","1"," 3"," 2","3"," 2"," 4","2","4"," 100"," 7","50"," 1",NA," 8"," 7"," 8"," 8"," 9"," 9","10","4","3","1","0","1","5","5000","10"," 15","1",1,1,1,10,3,0,0,0,5,90,2.5,10,10,0.5,1
