Time,Expectations,X0,X1,X3,X5
Current,-5,0  (0.0%),1 (100.0%),0  (0.0%),0  (0.0%)
Current,-4,0  (0.0%),3 (100.0%),0  (0.0%),0  (0.0%)
Current,-3,2 (10.5%),7  (36.8%),3 (15.8%),7 (36.8%)
Current,-2,2  (4.8%),21  (50.0%),12 (28.6%),7 (16.7%)
Current,-1,2  (5.3%),16  (42.1%),14 (36.8%),6 (15.8%)
Current,0,3  (6.7%),24  (53.3%),4  (8.9%),14 (31.1%)
Current,1,8  (4.1%),115  (59.0%),47 (24.1%),25 (12.8%)
Current,2,28  (7.0%),259  (64.4%),92 (22.9%),23  (5.7%)
Current,3,25  (5.8%),306  (71.5%),79 (18.5%),18  (4.2%)
Current,4,29 (11.4%),171  (67.3%),43 (16.9%),11  (4.3%)
Current,5,52 (38.0%),72  (52.6%),13  (9.5%),0  (0.0%)
Future,-4,0  (0.0%),2 (100.0%),0  (0.0%),0  (0.0%)
Future,-3,1 (11.1%),4  (44.4%),1 (11.1%),3 (33.3%)
Future,-2,1 (10.0%),2  (20.0%),5 (50.0%),2 (20.0%)
Future,-1,0  (0.0%),9  (69.2%),1  (7.7%),3 (23.1%)
Future,0,10  (7.8%),56  (43.8%),32 (25.0%),30 (23.4%)
Future,1,6  (2.8%),110  (50.9%),67 (31.0%),33 (15.3%)
Future,2,18  (5.0%),234  (65.5%),82 (23.0%),23  (6.4%)
Future,3,26  (6.7%),282  (73.1%),66 (17.1%),12  (3.1%)
Future,4,25  (9.5%),196  (74.2%),39 (14.8%),4  (1.5%)
Future,5,64 (35.8%),100  (55.9%),14  (7.8%),1  (0.6%)
