Variable,Alternative.Model.I,Alternative.Model.II
**Mean model**,"",""
Intercept,-1.110*** (0.114),-1.110*** (0.114)
Aged older than sample median (0/1),0.046 (0.041),0.046 (0.041)
Charity: involved (0/1),0.138** (0.044),0.138** (0.044)
Ethnicity any white group (0/1),0.160** (0.059),0.160** (0.059)
Gender: female (0/1),-0.065 (0.040),-0.065 (0.040)
Higher education experience (0/1),-0.025 (0.041),-0.025 (0.041)
Climate change current risk to the environment (1-10),-0.043** (0.016),-0.043** (0.015)
Climate change current risk to the self (1-10),-0.017 (0.013),-0.017 (0.013)
Microplastics current risk to the environment (1-10),0.190*** (0.017),0.190*** (0.017)
Microplastics current risk to the self (1-10),0.137*** (0.015),0.137*** (0.015)
**Dispersion model**,"",""
Intercept,1.431*** (0.053),1.431*** (0.053)
Uncertainty (0-5),0.249*** (0.026),""
VarianceChange: upper bound (-10/+10),"",0.125*** (0.013)
**Second stage**,"",""
Log-bid income relationship,87.213*** (12.798),87.213*** (12.827)
Mean prediction,1.956*** (0.133),1.956*** (0.133)
Dispersion prediction,-22.240*** (3.541),-22.240*** (3.546)
**First stage diagnostics**,"",""
AIC,-2335.249,-2332.691
Log-likelihood,1179.624,1178.345
Pseudo R2,0.192,0.193
**Second stage diagnostics**,"",""
AIC,1590.346,1590.587
Log-likelihood,-792.173,-792.294
Residual Deviance,0.269,0.269
EOP (SD),£331.933 (£208.432),£332.174 (£209.324)
"*** = P value < 0.01, ** = P value < 0.05, * = P value < 0.10","",""
