Variable,Estimate,Variable.1,Estimate.1,Variable.2,Estimate.2,Variable.3,Estimate.3
X.Intercept.,-1.064*** (0.114),X.Intercept.,-0.991*** (0.119),X.Intercept.,-1.04*** (0.13),X.Intercept.,-1.1*** (0.138)
AgeDummy,0.082* (0.04),AgeDummy,0.103* (0.043),AgeDummy,0.081. (0.046),AgeDummy,0.057 (0.047)
EthnicityDummy,0.101. (0.058),EthnicityDummy,0.091 (0.063),EthnicityDummy,0.144* (0.068),EthnicityDummy,0.174** (0.067)
Gender_Dummy,-0.05 (0.039),Gender_Dummy,-0.066 (0.042),Gender_Dummy,-0.017 (0.045),Gender_Dummy,-0.07 (0.046)
Charity,0.1* (0.043),Charity,0.138** (0.046),Charity,0.104* (0.05),Charity,0.107* (0.05)
Education_HigherEd,-0.002 (0.04),Education_HigherEd,-0.004 (0.043),Education_HigherEd,-0.04 (0.046),Education_HigherEd,0.015 (0.047)
Q16_ClimateCurrentEnvironment,-0.03. (0.015),Q16_ClimateCurrentEnvironment,-0.037* (0.017),Q16_ClimateCurrentEnvironment,-0.018 (0.017),Q16_ClimateCurrentEnvironment,-0.028 (0.019)
Q16_ClimateCurrentSelf,-0.014 (0.013),Q16_ClimateCurrentSelf,-0.015 (0.014),Q16_ClimateCurrentSelf,-0.041** (0.015),Q16_ClimateCurrentSelf,-0.006 (0.016)
Q16_MicroplasticsCurrentEnvironment,0.173*** (0.017),Q16_MicroplasticsCurrentEnvironment,0.17*** (0.018),Q16_MicroplasticsCurrentEnvironment,0.169*** (0.019),Q16_MicroplasticsCurrentEnvironment,0.179*** (0.021)
Q16_MicroplasticsCurrentSelf,0.13*** (0.014),Q16_MicroplasticsCurrentSelf,0.131*** (0.016),Q16_MicroplasticsCurrentSelf,0.143*** (0.016),Q16_MicroplasticsCurrentSelf,0.117*** (0.018)
X.Intercept..1,0.583*** (0.095),X.Intercept..1,0.582*** (0.099),X.Intercept..1,0.492*** (0.109),X.Intercept..1,0.561*** (0.108)
as.factor.Uncertainty.1,1.476*** (0.102),as.factor.Uncertainty.1,1.424*** (0.107),as.factor.Uncertainty.1,1.622*** (0.118),as.factor.Uncertainty.1,1.498*** (0.117)
as.factor.Uncertainty.3,1.561*** (0.121),as.factor.Uncertainty.3,1.66*** (0.128),as.factor.Uncertainty.3,1.758*** (0.141),as.factor.Uncertainty.3,1.651*** (0.14)
as.factor.Uncertainty.5,1.63*** (0.158),as.factor.Uncertainty.5,1.583*** (0.173),as.factor.Uncertainty.5,1.733*** (0.186),as.factor.Uncertainty.5,1.856*** (0.201)
LogBidIncome,94.276*** (13.883),LogBidIncome,104.575*** (16.311),LogBidIncome,93.451*** (17.502),LogBidIncome,84.395*** (15.858)
I..predict.stage_1..type....response....,1.668*** (0.1),I..predict.stage_1..type....response....,1.685*** (0.107),I..predict.stage_1..type....response....,1.595*** (0.111),I..predict.stage_1..type....response....,1.612*** (0.116)
I.predict.stage_1..type....variance...,-14.275*** (2.564),I.predict.stage_1..type....variance...,-13.97*** (2.69),I.predict.stage_1..type....variance...,-13.403*** (2.797),I.predict.stage_1..type....variance...,-10.255*** (2.93)
S1_AIC,-2447.819,S1_AIC,-2174.848,S1_AIC,-1876.742,S1_AIC,-1773.906
S1_LogLik,1237.909,S1_LogLik,1101.424,S1_LogLik,952.371,S1_LogLik,900.953
S1_PseudoR2,0.189,S1_PseudoR2,0.189,S1_PseudoR2,0.199,S1_PseudoR2,0.183
S2_AIC,1541.277,S2_AIC,1352.987,S2_AIC,1148.103,S2_AIC,1054.859
S2_LogLik,-767.638,S2_LogLik,-673.493,S2_LogLik,-571.051,S2_LogLik,-524.429
S2_PseudoR2,0.267,S2_PseudoR2,0.273,S2_PseudoR2,0.252,S2_PseudoR2,0.294
S2_EOP_Mean,£312.418 (£182.658),S2_EOP_Mean,£292.82 (£166.801),S2_EOP_Mean,£306.92 (£181.29),S2_EOP_Mean,£378.159 (£205.787)
