Variable,Estimate,Variable.1,Estimate.1,Variable.2,Estimate.2
Mean_Change_Square,-0.001 (0.003),Mean_Change_Square,-0.000 (0.003),Mean_Change_Square,0.000 (0.003)
Variance_Square,-0.020* (0.012),Variance_Square,-0.019 (0.012),Variance_Square,-0.021* (0.012)
LogBidIncome,88.113*** (13.265),LogBidIncome,89.675*** (13.207),Var_Neg,-0.137* (0.074)
Var_Neg,-0.132* (0.074),Mean_Change,0.101*** (0.023),Mean_Change,0.096*** (0.023)
Mean_Change,-0.004 (0.057),Var_Neg,0.068 (0.128),LogBidIncome,215.876** (101.551)
AgeDummy,-0.072 (0.136),AgeDummy,-0.149* (0.088),AgeDummy,-0.048 (0.090)
Gender,-0.095 (0.131),Gender,-0.081 (0.081),Gender,-0.132 (0.083)
EthnicityDummy,-0.037 (0.192),EthnicityDummy,-0.221* (0.124),EthnicityDummy,-0.222* (0.123)
Charity,0.398** (0.165),Charity,0.484*** (0.097),Charity,0.429*** (0.098)
Consequentiality,0.315** (0.140),Consequentiality,0.189** (0.091),Consequentiality,0.192** (0.093)
Understanding,-0.000 (0.017),Understanding,0.024* (0.013),Understanding,0.025* (0.013)
Order,0.287** (0.146),Order,-0.008 (0.096),Order,0.017 (0.096)
Q16_Comparison,0.010 (0.037),Q16_Comparison,-0.038 (0.024),Q16_Comparison,-0.054** (0.026)
Mean_Change:AgeDummy,-0.007 (0.025),Var_Neg:AgeDummy,-0.033 (0.044),LogBidIncome:AgeDummy,33.429 (27.404)
Mean_Change:Gender,-0.007 (0.024),Var_Neg:Gender,0.043 (0.042),LogBidIncome:Gender,-3.627 (26.257)
Mean_Change:EthnicityDummy,-0.030 (0.034),Var_Neg:EthnicityDummy,-0.026 (0.060),LogBidIncome:EthnicityDummy,-16.058 (40.592)
Mean_Change:Charity,0.013 (0.029),Var_Neg:Charity,0.017 (0.050),LogBidIncome:Charity,-16.685 (28.265)
Mean_Change:Consequentiality,-0.022 (0.026),Var_Neg:Consequentiality,-0.015 (0.044),LogBidIncome:Consequentiality,-11.934 (29.019)
Mean_Change:Understanding,0.016** (0.006),Var_Neg:Understanding,-0.020 (0.012),LogBidIncome:Understanding,-11.601 (10.631)
Mean_Change:Order,-0.047* (0.027),Var_Neg:Order,-0.057 (0.048),LogBidIncome:Order,-30.396 (27.199)
Mean_Change:Q16_Comparison,-0.007 (0.007),Var_Neg:Q16_Comparison,-0.015 (0.013),LogBidIncome:Q16_Comparison,-17.766** (8.963)
