Variable,Category,N,Sample,Mean,MeanTests,Variance,VarianceTests
Gender,0,763,48.79%,2.36 (1.7),291544 (0.108 ),2.25 (0.71),310853 (0.491 )
Gender,1,781,49.94%,2.48 (1.68),318659 (0.14 ),2.23 (0.73),299905 (0.444 )
Gender,2,15,0.96%,2.8 (1.01),12702.5 (0.524 ),2.27 (0.46),12219 (0.687 )
Gender,3,5,0.32%,2.6 (0.55),3952.5 (0.956 ),2.2 (0.45),3881 (0.985 )
AgeBracket,1,411,26.28%,2.38 (1.68),231526.5 (0.481 ),2.26 (0.7),241875 (0.464 )
AgeBracket,2,394,25.19%,2.25 (1.76),212876.5 (0.02**),2.18 (0.7),217325 (0.047**)
AgeBracket,3,281,17.97%,2.39 (1.64),176260 (0.551 ),2.27 (0.78),181668 (0.811 )
AgeBracket,4,265,16.94%,2.63 (1.61),187799.5 (0.017**),2.27 (0.7),177163 (0.379 )
AgeBracket,5,181,11.57%,2.66 (1.58),136784.5 (0.037**),2.26 (0.73),126655 (0.76 )
AgeBracket,6,32,2.05%,2.34 (1.93),24237 (0.912 ),2.25 (0.72),24798 (0.895 )
EthnicityDummy,0,1344,85.93%,2.42 (1.66),143317 (0.456 ),2.25 (0.7),155666 (0.141 )
EthnicityDummy,1,220,14.07%,2.45 (1.8),152363 (0.456 ),2.19 (0.83),140014 (0.141 )
IncomeBracket,0,485,31.01%,2.44 (1.81),269622 (0.324 ),2.3 (0.78),274300 (0.074*)
IncomeBracket,1,349,22.31%,2.55 (1.48),221761 (0.18 ),2.21 (0.71),205018 (0.272 )
IncomeBracket,2,436,27.88%,2.36 (1.75),239400 (0.406 ),2.21 (0.68),238878 (0.306 )
IncomeBracket,3,294,18.8%,2.34 (1.57),175486 (0.101 ),2.24 (0.68),188073 (0.817 )
Order,0,1101,70.4%,2.43 (1.67),256882 (0.802 ),2.23 (0.72),247642 (0.3 )
Order,1,463,29.6%,2.41 (1.71),252881 (0.802 ),2.27 (0.73),262121 (0.3 )
Charity,0,1011,64.64%,2.21 (1.72),220493 (0***),2.28 (0.73),299425 (0.007***)
Charity,1,553,35.36%,2.8 (1.53),338590 (0***),2.17 (0.7),259658 (0.007***)
