Variable,Estimate
X.Intercept.,1.02*** (0.056)
AgeDummy,0.2*** (0.05)
EthnicityDummy,0.077 (0.073)
Gender_Dummy,-0.192*** (0.05)
Charity,0.312*** (0.053)
Education_HigherEd,0.028 (0.051)
X.Intercept..1,0.059 (0.09)
as.factor.Uncertainty.1,1.06*** (0.096)
as.factor.Uncertainty.3,1.491*** (0.114)
as.factor.Uncertainty.5,1.522*** (0.148)
LogBidIncome,86.704*** (12.957)
I..predict.stage_1..type....response.....MEC..2.,1.673*** (0.144)
I.0...predict.stage_1..type....variance...,8.046*** (2.142)
S1_AIC,-2104.727
S1_LogLik,1062.363
S1_PseudoR2,0.033
S2_AIC,1640.843
S2_LogLik,-817.422
S2_PseudoR2,0.246
S2_EOP_Mean,£332.574 (£174.247)
