Estimate,Std..Error,z.value,P.values,Variable
-1.441,0.105,-13.683,<0.001***,X.Intercept.
0.065,0.041,1.599,0.110,AgeDummy
0.116,0.059,1.963,0.050**,EthnicityDummy
-0.053,0.041,-1.304,0.192,Gender_Dummy
0.089,0.045,1.993,0.046**,Charity
-0.008,0.041,-0.186,0.852,Education_HigherEd
-0.037,0.015,-2.531,0.011**,Q16_ClimateCurrentEnvironment
0.016,0.013,1.246,0.213,Q16_ClimateCurrentSelf
0.082,0.017,4.974,<0.001***,Q16_MicroplasticsCurrentEnvironment
0.039,0.015,2.529,0.011**,Q16_MicroplasticsCurrentSelf
0.067,0.022,3.121,0.002***,Q16_MicroplasticsTen
0.098,0.029,3.348,<0.001***,Q16_MicroplasticsTwentyFive
-0.01,0.022,-0.46,0.646,Q16_MicroplasticsFifty
2.203,0.088,25.137,<0.001***,X.Intercept..1
-0.243,0.014,-17.252,<0.001***,VarianceUpperBound
-0.119,0.02,-5.978,<0.001***,VarianceLowerBound
-3042.205,0,0,0,0
1537.102,0,0,0,0
0.178,0,0,0,0
