Estimate,Std..Error,z.value,P.values,Variable
-1.508,0.143,-10.519,<0.001***,X.Intercept.
0.043,0.047,0.903,0.367,AgeDummy
0.169,0.067,2.509,0.012**,EthnicityDummy
-0.048,0.047,-1.028,0.304,Gender_Dummy
0.114,0.051,2.261,0.024**,Charity
-0.025,0.047,-0.536,0.592,Education_HigherEd
-0.032,0.018,-1.709,0.087*,Q16_ClimateCurrentEnvironment
-0.022,0.015,-1.451,0.147,Q16_ClimateCurrentSelf
0.098,0.02,4.828,<0.001***,Q16_MicroplasticsCurrentEnvironment
0.072,0.018,4.04,<0.001***,Q16_MicroplasticsCurrentSelf
0.141,0.026,5.427,<0.001***,Q16_MicroplasticsTen
0.112,0.036,3.058,0.002***,Q16_MicroplasticsTwentyFive
-0.06,0.027,-2.22,0.026**,Q16_MicroplasticsFifty
1.068,0.052,20.335,<0.001***,X.Intercept..1
0.232,0.025,9.283,<0.001***,as.numeric.Uncertainty.
-2526.293,0,0,0,0
1278.146,0,0,0,0
0.19,0,0,0,0
