Variable,Estimate,Std..Error,z.value,P.values
X.Intercept.,-1.037,0.111,-9.335,<0.001***
AgeDummy,0.076,0.04,1.923,0.054*
EthnicityDummy,0.11,0.058,1.914,0.056*
Gender_Dummy,-0.057,0.039,-1.468,0.142
Charity,0.101,0.042,2.384,0.017**
Education_HigherEd,-0.001,0.04,-0.025,0.980
Q16_ClimateCurrentEnvironment,-0.034,0.015,-2.238,0.025**
Q16_ClimateCurrentSelf,-0.013,0.013,-0.981,0.326
Q16_MicroplasticsCurrentEnvironment,0.172,0.016,10.481,<0.001***
Q16_MicroplasticsCurrentSelf,0.133,0.014,9.303,<0.001***
X.Intercept..1,0.594,0.093,6.383,<0.001***
as.factor.Uncertainty.1,1.436,0.1,14.3,<0.001***
as.factor.Uncertainty.3,1.561,0.118,13.178,<0.001***
as.factor.Uncertainty.5,1.636,0.156,10.48,<0.001***
S1_AIC,-2516.022,0,0,0
S1_LogLik,1272.011,0,0,0
S1_PseudoR2,0.191,0,0,0
