Variable,Model.M1,Model.M2,Model.M3,Model.M4
**First stage: Mean model (λ̂)**,"","","",""
Intercept,-1.037*** (0.111),-1.037*** (0.111),-1.037*** (0.111),-1.037*** (0.111)
Aged older than sample median (0/1),0.076. (0.04),0.076. (0.039),0.076. (0.04),0.076. (0.039)
Ethnicity: any white group (0/1),0.11. (0.058),0.11. (0.058),0.11. (0.058),0.11. (0.058)
Gender: female (0/1),-0.057 (0.039),-0.057 (0.039),-0.057 (0.039),-0.057 (0.039)
Charity: involved (0/1),0.101* (0.042),0.101* (0.042),0.101* (0.042),0.101* (0.042)
Higher education experience (0/1),-0.001 (0.04),-0.001 (0.04),-0.001 (0.04),-0.001 (0.039)
Climate change: current risk to environment (1-10),-0.034* (0.015),-0.034* (0.015),-0.034* (0.015),-0.034* (0.015)
Climate change: current risk to self (1-10),-0.013 (0.013),-0.013 (0.013),-0.013 (0.013),-0.013 (0.013)
MPs: current risk to environment (1-10),0.172*** (0.016),0.172*** (0.016),0.172*** (0.016),0.172*** (0.016)
MPs: current risk to self (1-10),0.133*** (0.014),0.133*** (0.014),0.133*** (0.014),0.133*** (0.014)
**First stage: Dispersion model (ψ̂)**,"","","",""
Intercept,0.594*** (0.093),0.594*** (0.093),0.594*** (0.093),0.594*** (0.093)
Uncertainty: low (+/- 1 point),1.436*** (0.1),1.436*** (0.1),1.436*** (0.1),1.436*** (0.1)
Uncertainty: medium (+/- 3 points),1.561*** (0.118),1.561*** (0.118),1.561*** (0.118),1.561*** (0.118)
Uncertainty: high (+/- 5 points),1.636*** (0.156),1.636*** (0.156),1.636*** (0.156),1.636*** (0.156)
**First stage: Diagnostics**,"","","",""
AIC,-2521.067,-2522.609,-2520.947,-2517.154
Log-likelihood,1274.534,1275.304,1274.473,1272.577
Pseudo R2,0.191,0.191,0.191,0.192
"**Second stage: WTP model (α̂,β̂,γ̂)**","","","",""
Impact of change in bid level on income,86.949*** (13.166),85.563*** (13.317),88.135*** (13.456),86.423*** (13.518)
Predicted impact of changes in expected harm,1.532*** (0.138),-3.723*** (0.778),2.144*** (0.322),-4.658*** (1.209)
Predicted impact of variance in expected harm,-13.275*** (2.575),-6.158* (2.994),-10.989*** (2.81),-6.573* (3.049)
Aged older than sample median (0/1),-0.182* (0.075),-0.045 (0.079),-0.134. (0.078),-0.008 (0.083)
Ethnicity: any white group (0/1),-0.202. (0.105),-0.099 (0.109),-0.224* (0.107),-0.096 (0.113)
Gender: female (0/1),0.05 (0.072),0.075 (0.074),0.09 (0.074),0.077 (0.076)
Charity: involved (0/1),0.404*** (0.083),0.414*** (0.085),0.382*** (0.084),0.423*** (0.088)
Higher education experience (0/1),0.064 (0.074),0.096 (0.076),0.106 (0.075),0.116 (0.078)
Climate change: current risk to environment (1-10),"",0.093*** (0.028),"",0.089** (0.03)
Climate change: current risk to self (1-10),"",-0.056* (0.025),"",-0.066* (0.026)
MPs: current risk to humanity (1-10),"",0.196*** (0.047),"",0.227*** (0.056)
MPs: current risk to self (1-10),"",0.187*** (0.035),"",0.21*** (0.041)
Survey speeder dummy (0/1),"","",-0.505* (0.209),-0.131 (0.216)
Survey order (0/1),"","",0.008 (0.082),0.044 (0.084)
Payment vehicle (0/1),"","",-0.134 (0.107),-0.033 (0.108)
Consequentiality (0/1),"","",0.167* (0.078),0.229** (0.081)
Coronavirus (0/1),"","",0.018 (0.075),0.049 (0.076)
Understanding (1-10),"","",-0.01 (0.025),0.033 (0.028)
**Second stage: Diagnostics**,"","","",""
AIC,1573.816,1523.493,1565.283,1519.469
Log-likelihood,-778.908,-749.746,-768.642,-741.734
Pseudo R2,0.282,0.308,0.291,0.316
EOP (SD),£310.471 (£182.421),£-1157.184 (£574.311),£498.582 (£266.31),£-1397.532 (£694.647)
"*** = P value < 0.01, ** = P value < 0.05, * = P value < 0.10","","","",""
