Variable,Estimate
X.Intercept.,-1.036*** (0.21)
AgeDummy,0.055 (0.077)
EthnicityDummy,0.034 (0.105)
Gender_Dummy,-0.123. (0.074)
Charity,0.121 (0.079)
Education_HigherEd,0.077 (0.076)
Q16_ClimateCurrentEnvironment,-0.066* (0.031)
Q16_ClimateCurrentSelf,0.065* (0.027)
Q16_MicroplasticsCurrentEnvironment,0.168*** (0.034)
Q16_MicroplasticsCurrentSelf,0.096** (0.03)
X.Intercept..1,0.878*** (0.183)
as.factor.Uncertainty.1,0.992*** (0.195)
as.factor.Uncertainty.3,1.072*** (0.224)
as.factor.Uncertainty.5,1.402*** (0.295)
LogBidIncome,78.352*** (20.188)
I..predict.stage_1..type....response....,1.714*** (0.207)
I.predict.stage_1..type....variance...,-13.115* (5.337)
S1_AIC,-674.39
S1_LogLik,351.195
S1_PseudoR2,0.197
S2_AIC,461.962
S2_LogLik,-227.981
S2_PseudoR2,0.29
S2_EOP_Mean,£398.221 (£222.215)
